principal_component,M_M_O_M_n10_n20_l0,M_M_O_M_n10_n20_l1,M_M_O_M_n10_n20_l2,M_M_O_M_n10_n20_l3,M_M_O_M_n10_n20_l4,M_M_O_M_n10_n21_l0,M_M_O_M_n10_n21_l1,M_M_O_M_n10_n21_l2,M_M_O_M_n10_n21_l3,M_M_O_M_n10_n21_l4,M_M_O_M_n10_n22_l0,M_M_O_M_n10_n22_l1,M_M_O_M_n10_n22_l2,M_M_O_M_n10_n22_l3,M_M_O_M_n10_n22_l4,M_M_O_M_n10_n23_l0
PC1,-0.251695,-0.251695,-0.251695,-0.251695,0.278322,0.278322,0.278322,0.278322,-0.243726,-0.243726,-0.243726,-0.243726,-0.223123,-0.223123,-0.223123,-0.223123
PC2,0.003388,0.003388,0.003388,0.003388,0.087182,0.087182,0.087182,0.087182,-0.276721,-0.276721,-0.276721,-0.276721,0.407202,0.407202,0.407202,0.407202
