principal_component,M-2H_H_M_M_n10_n20_l0_atom1,M-2H_H_M_M_n10_n20_l1_atom1,M-2H_H_M_M_n10_n20_l2_atom1,M-2H_H_M_M_n10_n20_l3_atom1,M-2H_H_M_M_n10_n20_l4_atom1,M-2H_H_M_M_n10_n21_l0_atom1,M-2H_H_M_M_n10_n21_l1_atom1,M-2H_H_M_M_n10_n21_l2_atom1,M-2H_H_M_M_n10_n21_l3_atom1,M-2H_H_M_M_n10_n21_l4_atom1,M-2H_H_M_M_n10_n22_l0_atom1,M-2H_H_M_M_n10_n22_l1_atom1,M-2H_H_M_M_n10_n22_l2_atom1,M-2H_H_M_M_n10_n22_l3_atom1,M-2H_H_M_M_n10_n22_l4_atom1,M-2H_H_M_M_n10_n23_l0_atom1,M-2H_H_M_M_n10_n23_l1_atom1,M-2H_H_M_M_n10_n23_l2_atom1,M-2H_H_M_M_n10_n23_l3_atom1,M-2H_H_M_M_n10_n23_l4_atom1,M-2H_H_M_M_n11_n21_l0_atom1,M-2H_H_M_M_n11_n21_l1_atom1,M-2H_H_M_M_n11_n21_l2_atom1,M-2H_H_M_M_n11_n21_l3_atom1,M-2H_H_M_M_n11_n21_l4_atom1,M-2H_H_M_M_n11_n22_l0_atom1,M-2H_H_M_M_n11_n22_l1_atom1,M-2H_H_M_M_n11_n22_l2_atom1,M-2H_H_M_M_n11_n22_l3_atom1,M-2H_H_M_M_n11_n22_l4_atom1,M-2H_H_M_M_n11_n23_l0_atom1,M-2H_H_M_M_n11_n23_l1_atom1,M-2H_H_M_M_n11_n23_l2_atom1,M-2H_H_M_M_n11_n23_l3_atom1,M-2H_H_M_M_n11_n23_l4_atom1,M-2H_H_M_M_n12_n22_l0_atom1,M-2H_H_M_M_n12_n22_l1_atom1,M-2H_H_M_M_n12_n22_l2_atom1,M-2H_H_M_M_n12_n22_l3_atom1,M-2H_H_M_M_n12_n22_l4_atom1,M-2H_H_M_M_n12_n23_l0_atom1,M-2H_H_M_M_n12_n23_l1_atom1,M-2H_H_M_M_n12_n23_l2_atom1,M-2H_H_M_M_n12_n23_l3_atom1,M-2H_H_M_M_n12_n23_l4_atom1,M-2H_H_M_M_n13_n23_l0_atom1,M-2H_H_M_M_n13_n23_l1_atom1,M-2H_H_M_M_n13_n23_l2_atom1,M-2H_H_M_M_n13_n23_l3_atom1,M-2H_H_M_M_n13_n23_l4_atom1
PC1,-0.044785,0.057088,0.208195,-0.205134,-0.123723,-0.084105,0.217664,0.021689,-0.059847,-0.193553,0.038084,-0.006230,0.189431,-0.202512,-0.051595,-0.185729,0.214858,0.030181,-0.108500,-0.187331,-0.005964,0.011876,0.157240,-0.199811,-0.027000,-0.177374,0.207201,0.043568,-0.152540,-0.178810,-0.040756,0.039208,0.136685,-0.201590,-0.037857,-0.147455,0.205148,0.062401,-0.182691,-0.169017,-0.057839,0.053526,0.125138,-0.205147,-0.048314,-0.131285,0.206519,0.085804,-0.198517,-0.157804
PC2,0.142192,-0.027539,-0.000465,-0.047881,0.193927,-0.199705,-0.036083,0.172336,0.212294,-0.052846,0.185624,-0.110226,-0.037228,-0.046943,0.115290,-0.123215,0.017265,0.182727,0.193536,-0.075067,0.229138,-0.197910,-0.073246,-0.059042,0.163824,0.013938,0.044321,0.190069,0.156889,-0.093788,0.233458,-0.228787,-0.081191,-0.063722,0.218134,0.055099,0.054297,0.196135,0.110378,-0.108283,0.229135,-0.229825,-0.071589,-0.063852,0.229062,0.058188,0.057337,0.199455,0.068133,-0.119740
PC3,-0.242744,0.299652,-0.103139,-0.096246,-0.040568,-0.122832,0.005768,0.206772,0.069963,0.049853,-0.187336,0.276501,-0.151076,-0.106412,-0.262687,0.040574,0.066892,0.190372,0.035819,0.039307,-0.082518,0.171431,-0.196406,-0.105995,-0.222244,0.183102,0.089458,0.171325,-0.007336,0.034328,-0.013512,0.062607,-0.220629,-0.093823,-0.110065,0.219883,0.088610,0.143370,-0.042846,0.035204,0.006319,0.017847,-0.239108,-0.076403,-0.042785,0.238227,0.077462,0.100420,-0.062219,0.040545
