principal_component,M-2H_H_O_O_n10_n20_l0_atom0,M-2H_H_O_O_n10_n20_l1_atom0,M-2H_H_O_O_n10_n20_l2_atom0,M-2H_H_O_O_n10_n20_l3_atom0,M-2H_H_O_O_n10_n20_l4_atom0,M-2H_H_O_O_n10_n21_l0_atom0,M-2H_H_O_O_n10_n21_l1_atom0,M-2H_H_O_O_n10_n21_l2_atom0,M-2H_H_O_O_n10_n21_l3_atom0,M-2H_H_O_O_n10_n21_l4_atom0,M-2H_H_O_O_n10_n22_l0_atom0,M-2H_H_O_O_n10_n22_l1_atom0,M-2H_H_O_O_n10_n22_l2_atom0,M-2H_H_O_O_n10_n22_l3_atom0,M-2H_H_O_O_n10_n22_l4_atom0,M-2H_H_O_O_n10_n23_l0_atom0,M-2H_H_O_O_n10_n23_l1_atom0,M-2H_H_O_O_n10_n23_l2_atom0,M-2H_H_O_O_n10_n23_l3_atom0,M-2H_H_O_O_n10_n23_l4_atom0,M-2H_H_O_O_n11_n21_l0_atom0,M-2H_H_O_O_n11_n21_l1_atom0,M-2H_H_O_O_n11_n21_l2_atom0,M-2H_H_O_O_n11_n21_l3_atom0,M-2H_H_O_O_n11_n21_l4_atom0,M-2H_H_O_O_n11_n22_l0_atom0,M-2H_H_O_O_n11_n22_l1_atom0,M-2H_H_O_O_n11_n22_l2_atom0,M-2H_H_O_O_n11_n22_l3_atom0,M-2H_H_O_O_n11_n22_l4_atom0,M-2H_H_O_O_n11_n23_l0_atom0,M-2H_H_O_O_n11_n23_l1_atom0,M-2H_H_O_O_n11_n23_l2_atom0,M-2H_H_O_O_n11_n23_l3_atom0,M-2H_H_O_O_n11_n23_l4_atom0,M-2H_H_O_O_n12_n22_l0_atom0,M-2H_H_O_O_n12_n22_l1_atom0,M-2H_H_O_O_n12_n22_l2_atom0,M-2H_H_O_O_n12_n22_l3_atom0,M-2H_H_O_O_n12_n22_l4_atom0,M-2H_H_O_O_n12_n23_l0_atom0,M-2H_H_O_O_n12_n23_l1_atom0,M-2H_H_O_O_n12_n23_l2_atom0,M-2H_H_O_O_n12_n23_l3_atom0,M-2H_H_O_O_n12_n23_l4_atom0,M-2H_H_O_O_n13_n23_l0_atom0,M-2H_H_O_O_n13_n23_l1_atom0,M-2H_H_O_O_n13_n23_l2_atom0,M-2H_H_O_O_n13_n23_l3_atom0,M-2H_H_O_O_n13_n23_l4_atom0
PC1,0.165414,-0.162553,0.152402,-0.193946,0.156037,-0.163077,0.203680,0.003199,0.047033,-0.113057,0.164947,-0.159471,0.001465,-0.184189,0.156592,0.041153,0.180438,0.066141,0.067883,-0.128144,-0.130273,-0.007006,-0.175560,-0.102875,0.141230,0.183155,0.146535,-0.017894,-0.025960,-0.025255,-0.146683,0.211315,-0.133430,-0.177616,0.052492,0.202204,0.185461,-0.123327,-0.166161,-0.116093,-0.092176,0.210755,-0.150478,-0.148033,-0.000756,0.194885,0.171063,-0.156412,-0.154369,-0.096511
PC2,0.175838,-0.179772,-0.052787,-0.067730,0.187620,0.059042,0.036277,-0.158434,0.104357,0.054824,0.171148,-0.181378,-0.196444,-0.089402,0.186764,0.189016,0.122307,-0.103136,0.162805,0.061711,0.118031,-0.216451,0.037456,0.025483,0.205914,0.132789,0.086968,0.222164,0.114406,-0.016679,0.187567,-0.026561,0.191493,0.116178,0.257331,-0.040906,-0.089255,0.179988,0.153659,0.005282,0.214837,0.027195,0.174979,0.078711,0.255407,-0.087958,-0.040660,0.149734,0.138473,-0.063802
PC3,-0.055762,0.051297,-0.294004,0.182014,-0.046900,0.249840,-0.152024,-0.370028,0.395474,-0.322525,-0.014999,0.005676,-0.101693,0.088611,-0.002645,0.026498,-0.037124,-0.261225,0.268821,-0.174495,-0.154931,0.130622,-0.061454,-0.167481,-0.027135,0.012147,0.107756,-0.028227,-0.211948,0.188398,-0.039700,0.033256,-0.019049,-0.050883,-0.035477,0.013829,0.031603,-0.012678,-0.007607,-0.121111,-0.021936,0.010098,0.007203,-0.052785,-0.027047,-0.008574,0.036180,0.020214,-0.036855,0.035461
PC4,0.023621,-0.019320,-0.021128,-0.033328,0.013893,0.043502,0.018770,0.082718,-0.167045,0.198797,-0.009573,-0.011426,-0.257777,0.125083,0.022769,0.200636,-0.069008,-0.152660,0.084862,0.104282,-0.206064,0.115171,-0.237905,0.045093,0.015473,0.111939,-0.013185,-0.197843,0.017979,0.049944,-0.095592,0.096874,-0.133415,-0.092034,-0.021137,0.130762,0.107487,-0.157122,-0.125742,-0.091512,0.190577,-0.088891,0.018365,0.350788,0.140350,0.009409,-0.302697,-0.097838,0.168142,0.377731
PC5,-0.001696,0.002753,-0.182526,0.069276,-0.004550,0.181889,-0.069680,-0.130212,0.062112,0.019078,0.056695,-0.051234,0.040619,-0.054942,0.046014,-0.050489,0.071120,-0.027188,0.129524,-0.231184,0.104378,-0.099781,-0.027315,0.504220,0.048737,0.035136,-0.276974,-0.086339,0.427359,0.014176,-0.032888,0.060242,-0.109926,0.107526,-0.002056,0.120466,-0.097980,-0.142199,-0.044280,0.325800,-0.055503,0.077878,-0.112027,-0.021021,-0.037335,0.118592,0.034706,-0.129332,-0.107738,0.130996
PC6,0.004984,0.010999,-0.057718,-0.026904,-0.027059,0.070721,0.008612,-0.094675,0.030656,0.039770,-0.097219,0.080396,-0.299939,0.176334,-0.061889,0.413241,-0.185502,0.311156,-0.160911,0.083454,0.261459,-0.313557,0.068311,0.027968,0.058139,0.001644,-0.150599,0.201020,-0.208951,0.317563,-0.085858,-0.003424,-0.085104,0.005693,0.046410,0.026731,0.117534,-0.083129,0.013994,-0.045848,-0.134137,0.074193,-0.134703,-0.009417,-0.032414,0.115323,0.065406,-0.124498,-0.057462,-0.005737
PC7,0.007208,-0.014827,0.014560,0.002527,0.024058,0.004300,-0.018035,0.123615,-0.171972,0.202603,0.092015,-0.074564,0.223201,-0.114752,0.059723,-0.263259,0.126033,-0.110646,0.121080,-0.130058,0.064672,0.011734,0.108528,0.173258,0.011334,-0.024190,-0.105326,0.110192,-0.158445,0.714371,0.005507,0.040782,0.029110,-0.083558,-0.022129,0.005369,0.020313,0.018784,0.018333,-0.279758,0.043203,-0.002778,0.029661,0.021223,0.009679,-0.024965,-0.025609,0.017062,0.056141,-0.013111
