principal_component,M-H_H_H_M_n10_n20_l0,M-H_H_H_M_n10_n20_l1,M-H_H_H_M_n10_n20_l2,M-H_H_H_M_n10_n20_l3,M-H_H_H_M_n10_n20_l4,M-H_H_H_M_n10_n21_l0,M-H_H_H_M_n10_n21_l1,M-H_H_H_M_n10_n21_l2,M-H_H_H_M_n10_n21_l3,M-H_H_H_M_n10_n21_l4,M-H_H_H_M_n10_n22_l0,M-H_H_H_M_n10_n22_l1,M-H_H_H_M_n10_n22_l2,M-H_H_H_M_n10_n22_l3,M-H_H_H_M_n10_n22_l4,M-H_H_H_M_n10_n23_l0
PC1,-0.264704,0.264750,-0.230544,-0.238094,-0.264704,0.264750,-0.230544,-0.238094,-0.264704,0.264750,-0.230544,-0.238094,-0.264704,0.264750,-0.230544,-0.238094
PC2,-0.012895,0.013607,0.373353,-0.332048,-0.012895,0.013607,0.373353,-0.332048,-0.012895,0.013607,0.373353,-0.332048,-0.012895,0.013607,0.373353,-0.332048
