principal_component,M-2H_H_H_O_n10_n20_l0_atom0,M-2H_H_H_O_n10_n20_l1_atom0,M-2H_H_H_O_n10_n20_l2_atom0,M-2H_H_H_O_n10_n20_l3_atom0,M-2H_H_H_O_n10_n20_l4_atom0,M-2H_H_H_O_n10_n21_l0_atom0,M-2H_H_H_O_n10_n21_l1_atom0,M-2H_H_H_O_n10_n21_l2_atom0,M-2H_H_H_O_n10_n21_l3_atom0,M-2H_H_H_O_n10_n21_l4_atom0,M-2H_H_H_O_n10_n22_l0_atom0,M-2H_H_H_O_n10_n22_l1_atom0,M-2H_H_H_O_n10_n22_l2_atom0,M-2H_H_H_O_n10_n22_l3_atom0,M-2H_H_H_O_n10_n22_l4_atom0,M-2H_H_H_O_n10_n23_l0_atom0,M-2H_H_H_O_n10_n23_l1_atom0,M-2H_H_H_O_n10_n23_l2_atom0,M-2H_H_H_O_n10_n23_l3_atom0,M-2H_H_H_O_n10_n23_l4_atom0,M-2H_H_H_O_n11_n20_l0_atom0,M-2H_H_H_O_n11_n20_l1_atom0,M-2H_H_H_O_n11_n20_l2_atom0,M-2H_H_H_O_n11_n20_l3_atom0,M-2H_H_H_O_n11_n20_l4_atom0,M-2H_H_H_O_n11_n21_l0_atom0,M-2H_H_H_O_n11_n21_l1_atom0,M-2H_H_H_O_n11_n21_l2_atom0,M-2H_H_H_O_n11_n21_l3_atom0,M-2H_H_H_O_n11_n21_l4_atom0,M-2H_H_H_O_n11_n22_l0_atom0,M-2H_H_H_O_n11_n22_l1_atom0,M-2H_H_H_O_n11_n22_l2_atom0,M-2H_H_H_O_n11_n22_l3_atom0,M-2H_H_H_O_n11_n22_l4_atom0,M-2H_H_H_O_n11_n23_l0_atom0,M-2H_H_H_O_n11_n23_l1_atom0,M-2H_H_H_O_n11_n23_l2_atom0,M-2H_H_H_O_n11_n23_l3_atom0,M-2H_H_H_O_n11_n23_l4_atom0,M-2H_H_H_O_n12_n20_l0_atom0,M-2H_H_H_O_n12_n20_l1_atom0,M-2H_H_H_O_n12_n20_l2_atom0,M-2H_H_H_O_n12_n20_l3_atom0,M-2H_H_H_O_n12_n20_l4_atom0,M-2H_H_H_O_n12_n21_l0_atom0,M-2H_H_H_O_n12_n21_l1_atom0,M-2H_H_H_O_n12_n21_l2_atom0,M-2H_H_H_O_n12_n21_l3_atom0,M-2H_H_H_O_n12_n21_l4_atom0,M-2H_H_H_O_n12_n22_l0_atom0,M-2H_H_H_O_n12_n22_l1_atom0,M-2H_H_H_O_n12_n22_l2_atom0,M-2H_H_H_O_n12_n22_l3_atom0,M-2H_H_H_O_n12_n22_l4_atom0,M-2H_H_H_O_n12_n23_l0_atom0,M-2H_H_H_O_n12_n23_l1_atom0,M-2H_H_H_O_n12_n23_l2_atom0,M-2H_H_H_O_n12_n23_l3_atom0,M-2H_H_H_O_n12_n23_l4_atom0,M-2H_H_H_O_n13_n20_l0_atom0,M-2H_H_H_O_n13_n20_l1_atom0,M-2H_H_H_O_n13_n20_l2_atom0,M-2H_H_H_O_n13_n20_l3_atom0,M-2H_H_H_O_n13_n20_l4_atom0,M-2H_H_H_O_n13_n21_l0_atom0,M-2H_H_H_O_n13_n21_l1_atom0,M-2H_H_H_O_n13_n21_l2_atom0,M-2H_H_H_O_n13_n21_l3_atom0,M-2H_H_H_O_n13_n21_l4_atom0,M-2H_H_H_O_n13_n22_l0_atom0,M-2H_H_H_O_n13_n22_l1_atom0,M-2H_H_H_O_n13_n22_l2_atom0,M-2H_H_H_O_n13_n22_l3_atom0,M-2H_H_H_O_n13_n22_l4_atom0,M-2H_H_H_O_n13_n23_l0_atom0,M-2H_H_H_O_n13_n23_l1_atom0,M-2H_H_H_O_n13_n23_l2_atom0,M-2H_H_H_O_n13_n23_l3_atom0,M-2H_H_H_O_n13_n23_l4_atom0
PC1,-0.141323,0.154181,-0.024680,-0.104939,-0.138234,0.149860,-0.038397,-0.069776,-0.140741,0.159195,0.039547,-0.129036,-0.145618,0.160606,0.011203,-0.137822,-0.076251,0.065209,-0.084109,0.132486,0.070848,-0.059760,0.083117,-0.135597,-0.044888,0.046569,-0.008757,0.092569,-0.001079,-0.034172,-0.093432,0.112991,-0.101374,0.083678,-0.102873,-0.088230,0.129137,-0.113151,0.122433,0.110294,-0.106554,0.092059,-0.092975,-0.091671,-0.133163,0.110357,-0.117595,-0.117882,-0.135579,0.127311,-0.160121,-0.062888,0.158590,-0.150901,0.173887,0.084583,-0.174734,0.166715,-0.176899,-0.105240,-0.192553,0.197314,-0.183070,-0.122012,0.089845,-0.074635,0.071713,0.059100,-0.099229,0.084936,-0.083946,-0.060065,0.097941,-0.087250,0.102133,0.023531,0.076484,-0.095778,0.063766,0.067080
PC2,0.121862,-0.117391,-0.039941,0.036362,0.123226,-0.119913,-0.027823,0.023726,0.101324,-0.109220,-0.191293,0.171923,0.117361,-0.112368,-0.087220,0.073058,-0.027604,-0.014738,-0.080690,0.027967,-0.002031,0.036707,0.063753,-0.027245,0.116922,-0.113699,-0.022420,0.007357,-0.031298,0.052844,0.010309,0.026533,-0.191401,0.181244,-0.153408,-0.168371,0.144788,-0.140459,0.119465,0.121154,0.129666,-0.113781,0.081978,0.158011,0.044839,-0.042213,0.015431,0.054271,-0.188680,0.194048,-0.135667,-0.188465,0.165944,-0.171084,0.120643,0.167192,0.103404,-0.089809,0.029448,0.154501,-0.004627,-0.021589,-0.030910,0.042597,-0.148166,0.123035,-0.105952,-0.118974,0.131346,-0.108116,0.094829,0.102535,0.166619,-0.172798,0.099047,0.161256,0.106817,-0.072596,0.073905,0.067211
PC3,-0.200593,0.190307,0.037876,0.000696,-0.202405,0.193329,0.016349,0.031739,-0.187933,0.166264,0.001601,0.029084,-0.194552,0.181860,0.088635,-0.048579,-0.060087,0.105593,0.094569,-0.058012,0.035631,-0.093831,-0.122495,0.073759,-0.067322,0.123549,0.148542,-0.071517,0.126076,-0.136416,0.058111,-0.085992,0.032118,-0.055390,0.039524,-0.031422,-0.067093,0.079128,-0.077635,-0.000389,0.138868,-0.099047,0.148152,0.120564,0.116624,-0.078565,0.137073,0.071611,-0.097518,0.073826,-0.027207,-0.172368,0.086676,-0.065903,0.018870,0.173314,0.039092,-0.054440,0.036979,0.015066,0.001033,0.044250,0.036362,-0.101660,-0.154538,0.192883,-0.069104,-0.200408,0.161928,-0.197286,0.067769,0.215965,-0.030664,0.048319,0.035206,-0.122212,-0.135294,0.071205,-0.017262,-0.205197
PC4,-0.018505,0.012331,-0.197334,0.208468,-0.018415,0.012093,-0.192558,0.223595,-0.023235,0.018565,-0.119530,0.075652,-0.015119,0.008949,-0.182474,0.143447,0.188812,-0.144128,0.199235,-0.158425,-0.202339,0.153061,-0.222570,0.172113,0.051264,-0.027534,0.081267,-0.092494,0.174789,-0.094139,0.252705,-0.205506,0.041752,-0.041166,0.038850,0.029937,-0.037689,0.035861,-0.034455,-0.037007,0.011978,0.001318,0.015621,0.023784,-0.018069,0.011372,-0.015733,0.043290,-0.037410,0.042688,-0.044450,-0.017573,0.045493,-0.051162,0.050173,0.024657,-0.064123,0.072257,-0.064400,-0.037579,-0.057652,0.052034,-0.043929,-0.069890,0.120892,-0.125689,0.182724,-0.011454,-0.130164,0.136451,-0.195475,0.017546,0.086627,-0.100705,0.142659,-0.047040,0.158004,-0.151990,0.207088,-0.028343
PC5,0.056910,-0.049067,-0.136178,0.076560,0.060239,-0.052882,-0.113317,0.060688,0.036543,-0.030534,-0.132315,0.065401,0.048299,-0.039054,-0.168179,0.075139,-0.180724,0.135398,-0.106998,-0.038656,0.228962,-0.195098,0.098410,0.060498,-0.166719,0.110989,-0.054251,-0.081748,-0.172361,0.156954,-0.031835,-0.074470,0.158799,-0.164616,0.113659,0.143276,-0.179791,0.182059,-0.133456,-0.170532,0.111135,-0.103432,0.095910,0.115852,0.093557,-0.030223,0.099107,0.140249,-0.104512,0.108511,-0.165410,0.023225,0.110654,-0.114946,0.168154,-0.028334,-0.095481,0.115494,-0.137042,0.009083,-0.169012,0.113828,-0.185621,-0.035127,0.049662,-0.029100,-0.027724,0.108843,-0.036786,0.016843,0.053926,-0.118438,-0.081025,0.086979,-0.167384,0.072802,-0.007512,0.010022,-0.090696,0.099010
PC6,0.043242,-0.009259,-0.137003,-0.174185,0.044850,-0.014336,-0.149199,-0.139810,0.062228,-0.012187,-0.025080,-0.173194,0.044418,-0.001759,-0.072535,-0.214813,0.174894,-0.224222,-0.026713,0.082034,-0.196732,0.277846,0.078385,-0.120966,0.223776,-0.275760,-0.172982,0.132531,-0.010133,0.022973,-0.041071,0.171582,0.123051,-0.034715,0.205844,0.012842,-0.137528,0.074898,-0.197008,0.005074,0.083866,-0.087244,0.079948,-0.072419,0.080435,-0.158191,0.035726,-0.034902,-0.046691,0.081425,-0.043156,-0.042928,0.053532,-0.083720,0.047036,0.053586,-0.062886,0.066080,-0.050341,-0.071518,-0.106887,0.084497,-0.085281,-0.093326,-0.072232,-0.028072,0.031594,-0.120216,0.075551,0.017814,-0.027570,0.124530,-0.080153,0.042747,-0.015690,-0.091965,-0.107972,0.196377,-0.084266,-0.089437
PC7,-0.019933,0.017140,0.248343,-0.140936,-0.019792,0.019249,0.262666,-0.189941,-0.004835,-0.010502,0.049156,0.060814,-0.023543,0.017809,0.206842,-0.059187,0.037349,-0.003149,0.043900,0.058919,-0.022501,0.009424,0.004728,-0.072043,-0.060050,0.056643,-0.041103,0.051067,0.040726,-0.093686,-0.107310,0.097008,0.079227,-0.074286,0.081461,-0.014352,-0.129823,0.126325,-0.117978,-0.009283,0.136195,-0.128558,0.098962,0.081317,0.229330,-0.195471,0.204642,0.016410,-0.038140,0.040142,-0.066338,0.016153,0.007848,-0.010560,0.049220,-0.063423,0.127622,-0.139672,0.041700,0.200225,0.010585,0.034141,-0.053053,0.149839,0.143952,-0.134709,0.197759,-0.011063,-0.162415,0.150593,-0.193481,-0.014705,0.146975,-0.110316,0.051502,0.144541,0.181200,-0.211408,0.179398,0.056698
PC8,0.003099,-0.001043,0.178907,-0.168798,0.015248,-0.011797,0.195809,-0.207758,-0.073785,0.063175,0.064599,-0.023657,-0.028808,0.025172,0.089790,-0.050975,0.176511,-0.177316,0.112143,-0.148956,-0.124551,0.099122,-0.172929,0.163088,0.111570,-0.028544,0.256876,-0.224207,-0.167483,0.187218,0.074130,-0.045836,-0.033210,0.059686,-0.052225,0.157101,0.043426,-0.088744,0.050985,-0.191720,-0.100616,0.208889,-0.023356,0.137790,0.069218,-0.118924,-0.007299,0.223368,-0.037587,0.016691,-0.055480,0.017996,0.053027,-0.036682,0.072121,-0.019541,-0.088150,0.092030,-0.105487,-0.014313,-0.086953,0.112206,-0.126690,0.131810,-0.066382,0.043339,-0.143601,0.112803,0.056615,-0.025665,0.119246,-0.110223,0.010437,-0.107936,0.049668,0.011366,-0.024927,0.084029,-0.111571,0.167969
PC9,0.049826,-0.056592,0.003196,-0.018624,0.054029,-0.060047,-0.022461,-0.002209,-0.022972,-0.011147,0.061152,0.037436,0.045894,-0.054024,0.077423,-0.050452,0.102864,-0.188322,-0.157695,0.118205,0.049141,-0.026374,0.020664,-0.022716,-0.188254,0.203496,0.217320,-0.278396,-0.292787,0.356015,0.105999,0.002967,0.027267,-0.027191,0.054926,-0.249907,-0.021728,-0.024577,-0.099234,0.237127,0.014652,0.174181,0.229073,0.004511,-0.065508,0.071892,0.011675,-0.128922,-0.042268,0.026282,-0.027499,-0.065946,0.021904,-0.014418,-0.003533,0.071900,0.101005,-0.048667,0.159966,-0.040840,-0.005183,-0.016755,0.037765,-0.097429,0.079230,-0.072377,0.134410,-0.035237,-0.062270,0.072440,-0.134597,0.069378,-0.094008,-0.059294,0.041095,-0.206019,-0.006545,0.081664,0.039691,-0.133414
PC10,0.062534,-0.066905,0.139889,-0.034972,0.042234,-0.048962,0.099260,0.001499,0.215571,-0.194322,0.282453,-0.144466,0.095010,-0.095771,0.159767,-0.031117,-0.073491,0.148682,0.196912,-0.209554,0.041523,-0.066959,-0.071304,0.194893,0.043750,-0.072827,-0.111776,-0.132426,-0.007437,-0.075165,-0.155388,-0.098014,-0.081791,0.093322,-0.052879,0.036703,0.061168,-0.039733,0.060646,-0.039964,0.105647,-0.223469,-0.000231,0.011869,-0.091530,0.057747,-0.121856,0.084777,-0.094735,0.093440,-0.044060,-0.109081,0.088625,-0.080379,0.013685,0.156095,0.013547,-0.054694,0.158425,-0.252539,-0.087769,0.060207,0.000034,-0.180259,0.090286,-0.105763,0.165315,-0.056197,-0.072734,0.076714,-0.150327,0.078732,-0.048403,0.142587,0.003979,-0.135493,-0.083896,0.056211,-0.103788,0.088368
