principal_component,M-2H_H_M_Ce_n10_n20_l0_atom1,M-2H_H_M_Ce_n10_n20_l1_atom1,M-2H_H_M_Ce_n10_n20_l2_atom1,M-2H_H_M_Ce_n10_n20_l3_atom1,M-2H_H_M_Ce_n10_n20_l4_atom1,M-2H_H_M_Ce_n10_n21_l0_atom1,M-2H_H_M_Ce_n10_n21_l1_atom1,M-2H_H_M_Ce_n10_n21_l2_atom1,M-2H_H_M_Ce_n10_n21_l3_atom1,M-2H_H_M_Ce_n10_n21_l4_atom1,M-2H_H_M_Ce_n10_n22_l0_atom1,M-2H_H_M_Ce_n10_n22_l1_atom1,M-2H_H_M_Ce_n10_n22_l2_atom1,M-2H_H_M_Ce_n10_n22_l3_atom1,M-2H_H_M_Ce_n10_n22_l4_atom1,M-2H_H_M_Ce_n10_n23_l0_atom1,M-2H_H_M_Ce_n10_n23_l1_atom1,M-2H_H_M_Ce_n10_n23_l2_atom1,M-2H_H_M_Ce_n10_n23_l3_atom1,M-2H_H_M_Ce_n10_n23_l4_atom1,M-2H_H_M_Ce_n11_n20_l0_atom1,M-2H_H_M_Ce_n11_n20_l1_atom1,M-2H_H_M_Ce_n11_n20_l2_atom1,M-2H_H_M_Ce_n11_n20_l3_atom1,M-2H_H_M_Ce_n11_n20_l4_atom1,M-2H_H_M_Ce_n11_n21_l0_atom1,M-2H_H_M_Ce_n11_n21_l1_atom1,M-2H_H_M_Ce_n11_n21_l2_atom1,M-2H_H_M_Ce_n11_n21_l3_atom1,M-2H_H_M_Ce_n11_n21_l4_atom1,M-2H_H_M_Ce_n11_n22_l0_atom1,M-2H_H_M_Ce_n11_n22_l1_atom1,M-2H_H_M_Ce_n11_n22_l2_atom1,M-2H_H_M_Ce_n11_n22_l3_atom1,M-2H_H_M_Ce_n11_n22_l4_atom1,M-2H_H_M_Ce_n11_n23_l0_atom1,M-2H_H_M_Ce_n11_n23_l1_atom1,M-2H_H_M_Ce_n11_n23_l2_atom1,M-2H_H_M_Ce_n11_n23_l3_atom1,M-2H_H_M_Ce_n11_n23_l4_atom1,M-2H_H_M_Ce_n12_n20_l0_atom1,M-2H_H_M_Ce_n12_n20_l1_atom1,M-2H_H_M_Ce_n12_n20_l2_atom1,M-2H_H_M_Ce_n12_n20_l3_atom1,M-2H_H_M_Ce_n12_n20_l4_atom1,M-2H_H_M_Ce_n12_n21_l0_atom1,M-2H_H_M_Ce_n12_n21_l1_atom1,M-2H_H_M_Ce_n12_n21_l2_atom1,M-2H_H_M_Ce_n12_n21_l3_atom1,M-2H_H_M_Ce_n12_n21_l4_atom1,M-2H_H_M_Ce_n12_n22_l0_atom1,M-2H_H_M_Ce_n12_n22_l1_atom1,M-2H_H_M_Ce_n12_n22_l2_atom1,M-2H_H_M_Ce_n12_n22_l3_atom1,M-2H_H_M_Ce_n12_n22_l4_atom1,M-2H_H_M_Ce_n12_n23_l0_atom1,M-2H_H_M_Ce_n12_n23_l1_atom1,M-2H_H_M_Ce_n12_n23_l2_atom1,M-2H_H_M_Ce_n12_n23_l3_atom1,M-2H_H_M_Ce_n12_n23_l4_atom1,M-2H_H_M_Ce_n13_n20_l0_atom1,M-2H_H_M_Ce_n13_n20_l1_atom1,M-2H_H_M_Ce_n13_n20_l2_atom1,M-2H_H_M_Ce_n13_n20_l3_atom1,M-2H_H_M_Ce_n13_n20_l4_atom1,M-2H_H_M_Ce_n13_n21_l0_atom1,M-2H_H_M_Ce_n13_n21_l1_atom1,M-2H_H_M_Ce_n13_n21_l2_atom1,M-2H_H_M_Ce_n13_n21_l3_atom1,M-2H_H_M_Ce_n13_n21_l4_atom1,M-2H_H_M_Ce_n13_n22_l0_atom1,M-2H_H_M_Ce_n13_n22_l1_atom1,M-2H_H_M_Ce_n13_n22_l2_atom1,M-2H_H_M_Ce_n13_n22_l3_atom1,M-2H_H_M_Ce_n13_n22_l4_atom1,M-2H_H_M_Ce_n13_n23_l0_atom1,M-2H_H_M_Ce_n13_n23_l1_atom1,M-2H_H_M_Ce_n13_n23_l2_atom1,M-2H_H_M_Ce_n13_n23_l3_atom1,M-2H_H_M_Ce_n13_n23_l4_atom1
PC1,-0.111734,0.107795,-0.053302,0.014953,0.103725,-0.123775,0.125686,-0.138955,0.080142,0.156553,-0.165586,0.161188,-0.107382,0.159805,0.086015,-0.089846,-0.059185,0.094285,-0.125022,0.151428,0.030710,-0.122837,0.165931,-0.124976,-0.026388,0.131428,-0.066283,0.026119,0.066551,-0.067910,0.091688,-0.006862,-0.141828,-0.145480,0.148286,-0.149270,-0.093633,0.080652,-0.143239,0.143921,0.122051,-0.152037,0.176001,-0.166442,-0.119711,-0.017316,-0.022997,0.092335,0.069366,-0.140559,0.073354,-0.037233,-0.093463,0.099387,-0.073347,0.125611,0.150955,-0.171632,0.169518,-0.156310,0.142476,0.109181,-0.120339,0.127293,-0.129945,0.154740,-0.087977,0.077045,0.111545,-0.158095,-0.053731,-0.125034,0.022967,-0.047418,0.074665,0.006253,0.025384,-0.024102,-0.006158,0.046119
PC2,-0.142905,0.115479,-0.180545,0.197848,0.157815,-0.148390,0.147922,-0.113627,-0.104817,-0.082969,0.071056,-0.067219,0.065383,-0.062940,-0.180816,0.175118,0.049927,-0.092118,0.107159,0.085812,0.026720,0.061308,-0.048436,-0.113803,0.025605,0.006363,-0.071866,0.131879,-0.131019,0.135820,-0.091691,-0.030355,0.122087,-0.115690,0.108489,-0.114574,-0.176637,0.183256,-0.130046,0.122929,-0.104189,0.105486,0.003127,-0.004108,0.125895,-0.066450,0.151078,-0.169133,-0.003684,0.048765,0.134940,-0.169600,-0.105477,0.111661,-0.135562,0.103227,-0.092444,-0.027880,0.035012,-0.065999,-0.115273,-0.105970,0.074559,-0.046179,0.102324,-0.098900,-0.140481,0.124961,-0.091906,0.090050,0.179169,-0.111551,-0.049654,0.101431,-0.144889,0.130963,-0.103874,0.104464,-0.100436,0.061378
PC3,0.064809,-0.180152,0.095296,0.079343,-0.049575,-0.025983,0.033953,-0.076579,-0.110592,0.012589,-0.015490,0.040908,-0.218135,-0.036736,0.006371,0.004414,-0.108293,0.218612,-0.043260,0.053064,0.289689,-0.162500,-0.060452,0.012910,-0.282734,-0.180162,0.205780,0.040173,-0.121332,0.166262,-0.150127,0.218052,0.014978,-0.018404,0.025665,-0.029044,0.032010,0.037511,-0.024503,0.034003,0.149053,0.054842,-0.030501,0.091213,-0.132226,-0.237964,0.022624,-0.012744,0.167515,-0.173158,-0.122252,-0.075960,-0.027820,0.004349,0.120679,0.028975,-0.035019,0.028580,-0.043321,0.031777,-0.040541,-0.049201,0.047307,-0.039139,0.074855,-0.047949,0.034152,-0.092550,0.189488,0.047460,0.044252,-0.032958,0.077521,-0.237925,0.005181,0.024155,-0.176962,0.176143,-0.136294,0.033897
PC4,0.141162,0.022384,-0.135498,0.013177,-0.121059,-0.068098,0.039062,0.045886,-0.006214,0.123047,-0.091620,0.116896,0.071085,-0.077191,0.073197,-0.039151,-0.333611,-0.006073,-0.028280,0.020076,-0.010443,0.165217,0.015323,0.112648,-0.061534,-0.109704,-0.200229,0.020511,-0.114515,0.057730,-0.061904,-0.073170,0.031322,-0.105482,0.114748,-0.047224,0.004734,0.075825,-0.035849,0.048618,-0.105532,-0.018246,0.018661,-0.034388,0.063547,0.161760,-0.055861,0.063694,0.290555,0.074898,0.099184,-0.008803,0.271660,-0.250522,-0.097606,-0.010394,-0.087710,-0.014223,-0.005635,-0.022859,0.003952,0.073707,-0.073615,0.058191,-0.024114,-0.039567,0.163882,-0.200366,-0.095631,0.038262,0.014538,-0.084895,0.369971,0.092818,-0.014453,0.149727,-0.090716,0.085035,0.021329,-0.144131
PC5,-0.064099,-0.044022,-0.002752,0.126979,0.067413,-0.049606,0.074660,-0.100260,-0.198238,0.019053,-0.003513,-0.004984,-0.042765,-0.093426,-0.047369,0.057792,0.017000,0.052035,0.101282,-0.136214,0.105273,-0.062178,-0.125833,0.162671,-0.121217,0.017377,0.014257,0.231227,0.184681,-0.110211,0.217974,-0.239009,0.070971,-0.021277,0.029359,-0.048284,-0.068963,0.075020,-0.045139,0.049257,0.056171,0.063661,0.062803,-0.018322,-0.038899,-0.032235,-0.131207,0.005577,-0.058150,-0.002771,-0.198018,0.093267,0.030350,-0.052987,0.199206,-0.178374,-0.067322,-0.030017,0.019309,-0.027788,-0.089675,0.194184,-0.224932,0.242070,0.136745,-0.080404,-0.026290,0.016164,0.053720,0.078853,0.100483,0.007334,-0.056481,-0.058455,-0.160359,0.168888,0.147137,-0.151708,0.213645,-0.226609
PC6,0.035485,-0.026221,-0.024352,0.037180,-0.028671,0.005047,0.011541,-0.013159,0.037640,-0.041204,0.081574,-0.087981,-0.021748,-0.009841,-0.089915,0.127939,0.010368,-0.003519,-0.035294,0.038163,0.020142,0.036493,-0.035383,0.020020,-0.056392,0.089884,-0.115309,0.128354,0.167879,-0.157416,0.160238,-0.206253,0.014211,0.027748,-0.031828,0.033934,0.061308,-0.032083,0.028536,-0.023920,-0.030911,0.042329,-0.124886,0.150898,0.027246,-0.041449,0.197140,-0.173619,0.060306,-0.001674,0.033488,-0.028879,0.001015,0.001843,-0.030432,0.014259,0.031437,-0.115544,0.114984,-0.131670,-0.053972,0.221892,-0.229092,0.221684,-0.001127,-0.046588,0.168527,-0.163984,-0.019801,0.055349,-0.091408,0.159490,0.037751,-0.050017,0.147792,-0.302041,-0.180280,0.188830,-0.288140,0.306238
