principal_component,M-2H_M_H_M_n10_n20_l0,M-2H_M_H_M_n10_n20_l1,M-2H_M_H_M_n10_n20_l2,M-2H_M_H_M_n10_n20_l3,M-2H_M_H_M_n10_n20_l4,M-2H_M_H_M_n10_n21_l0,M-2H_M_H_M_n10_n21_l1,M-2H_M_H_M_n10_n21_l2,M-2H_M_H_M_n10_n21_l3,M-2H_M_H_M_n10_n21_l4,M-2H_M_H_M_n10_n22_l0,M-2H_M_H_M_n10_n22_l1,M-2H_M_H_M_n10_n22_l2,M-2H_M_H_M_n10_n22_l3,M-2H_M_H_M_n10_n22_l4,M-2H_M_H_M_n10_n23_l0
PC1,-0.205536,-0.205536,-0.205536,-0.205536,0.290495,0.290495,0.290495,0.290495,-0.224700,-0.224700,-0.224700,-0.224700,-0.269959,-0.269959,-0.269959,-0.269959
PC2,0.369514,0.369514,0.369514,0.369514,0.029749,0.029749,0.029749,0.029749,-0.334273,-0.334273,-0.334273,-0.334273,0.028910,0.028910,0.028910,0.028910
