principal_component,M-H_H_H_Ce_n10_n20_l0,M-H_H_H_Ce_n10_n20_l1,M-H_H_H_Ce_n10_n20_l2,M-H_H_H_Ce_n10_n20_l3,M-H_H_H_Ce_n10_n20_l4,M-H_H_H_Ce_n10_n21_l0,M-H_H_H_Ce_n10_n21_l1,M-H_H_H_Ce_n10_n21_l2,M-H_H_H_Ce_n10_n21_l3,M-H_H_H_Ce_n10_n21_l4,M-H_H_H_Ce_n10_n22_l0,M-H_H_H_Ce_n10_n22_l1,M-H_H_H_Ce_n10_n22_l2,M-H_H_H_Ce_n10_n22_l3,M-H_H_H_Ce_n10_n22_l4,M-H_H_H_Ce_n10_n23_l0
PC1,0.312613,-0.309171,0.233795,0.045010,0.312613,-0.309171,0.233795,0.045010,0.312613,-0.309171,0.233795,0.045010,0.312613,-0.309171,0.233795,0.045010
PC2,0.062153,-0.086198,-0.274859,0.403930,0.062153,-0.086198,-0.274859,0.403930,0.062153,-0.086198,-0.274859,0.403930,0.062153,-0.086198,-0.274859,0.403930
