principal_component,M-2H_H_O_Ce_n10_n20_l0_atom1,M-2H_H_O_Ce_n10_n20_l1_atom1,M-2H_H_O_Ce_n10_n20_l2_atom1,M-2H_H_O_Ce_n10_n20_l3_atom1,M-2H_H_O_Ce_n10_n20_l4_atom1,M-2H_H_O_Ce_n10_n21_l0_atom1,M-2H_H_O_Ce_n10_n21_l1_atom1,M-2H_H_O_Ce_n10_n21_l2_atom1,M-2H_H_O_Ce_n10_n21_l3_atom1,M-2H_H_O_Ce_n10_n21_l4_atom1,M-2H_H_O_Ce_n10_n22_l0_atom1,M-2H_H_O_Ce_n10_n22_l1_atom1,M-2H_H_O_Ce_n10_n22_l2_atom1,M-2H_H_O_Ce_n10_n22_l3_atom1,M-2H_H_O_Ce_n10_n22_l4_atom1,M-2H_H_O_Ce_n10_n23_l0_atom1,M-2H_H_O_Ce_n10_n23_l1_atom1,M-2H_H_O_Ce_n10_n23_l2_atom1,M-2H_H_O_Ce_n10_n23_l3_atom1,M-2H_H_O_Ce_n10_n23_l4_atom1,M-2H_H_O_Ce_n11_n20_l0_atom1,M-2H_H_O_Ce_n11_n20_l1_atom1,M-2H_H_O_Ce_n11_n20_l2_atom1,M-2H_H_O_Ce_n11_n20_l3_atom1,M-2H_H_O_Ce_n11_n20_l4_atom1,M-2H_H_O_Ce_n11_n21_l0_atom1,M-2H_H_O_Ce_n11_n21_l1_atom1,M-2H_H_O_Ce_n11_n21_l2_atom1,M-2H_H_O_Ce_n11_n21_l3_atom1,M-2H_H_O_Ce_n11_n21_l4_atom1,M-2H_H_O_Ce_n11_n22_l0_atom1,M-2H_H_O_Ce_n11_n22_l1_atom1,M-2H_H_O_Ce_n11_n22_l2_atom1,M-2H_H_O_Ce_n11_n22_l3_atom1,M-2H_H_O_Ce_n11_n22_l4_atom1,M-2H_H_O_Ce_n11_n23_l0_atom1,M-2H_H_O_Ce_n11_n23_l1_atom1,M-2H_H_O_Ce_n11_n23_l2_atom1,M-2H_H_O_Ce_n11_n23_l3_atom1,M-2H_H_O_Ce_n11_n23_l4_atom1,M-2H_H_O_Ce_n12_n20_l0_atom1,M-2H_H_O_Ce_n12_n20_l1_atom1,M-2H_H_O_Ce_n12_n20_l2_atom1,M-2H_H_O_Ce_n12_n20_l3_atom1,M-2H_H_O_Ce_n12_n20_l4_atom1,M-2H_H_O_Ce_n12_n21_l0_atom1,M-2H_H_O_Ce_n12_n21_l1_atom1,M-2H_H_O_Ce_n12_n21_l2_atom1,M-2H_H_O_Ce_n12_n21_l3_atom1,M-2H_H_O_Ce_n12_n21_l4_atom1,M-2H_H_O_Ce_n12_n22_l0_atom1,M-2H_H_O_Ce_n12_n22_l1_atom1,M-2H_H_O_Ce_n12_n22_l2_atom1,M-2H_H_O_Ce_n12_n22_l3_atom1,M-2H_H_O_Ce_n12_n22_l4_atom1,M-2H_H_O_Ce_n12_n23_l0_atom1,M-2H_H_O_Ce_n12_n23_l1_atom1,M-2H_H_O_Ce_n12_n23_l2_atom1,M-2H_H_O_Ce_n12_n23_l3_atom1,M-2H_H_O_Ce_n12_n23_l4_atom1,M-2H_H_O_Ce_n13_n20_l0_atom1,M-2H_H_O_Ce_n13_n20_l1_atom1,M-2H_H_O_Ce_n13_n20_l2_atom1,M-2H_H_O_Ce_n13_n20_l3_atom1,M-2H_H_O_Ce_n13_n20_l4_atom1,M-2H_H_O_Ce_n13_n21_l0_atom1,M-2H_H_O_Ce_n13_n21_l1_atom1,M-2H_H_O_Ce_n13_n21_l2_atom1,M-2H_H_O_Ce_n13_n21_l3_atom1,M-2H_H_O_Ce_n13_n21_l4_atom1,M-2H_H_O_Ce_n13_n22_l0_atom1,M-2H_H_O_Ce_n13_n22_l1_atom1,M-2H_H_O_Ce_n13_n22_l2_atom1,M-2H_H_O_Ce_n13_n22_l3_atom1,M-2H_H_O_Ce_n13_n22_l4_atom1,M-2H_H_O_Ce_n13_n23_l0_atom1,M-2H_H_O_Ce_n13_n23_l1_atom1,M-2H_H_O_Ce_n13_n23_l2_atom1,M-2H_H_O_Ce_n13_n23_l3_atom1,M-2H_H_O_Ce_n13_n23_l4_atom1
PC1,0.149801,-0.150679,0.061619,0.016608,-0.143046,0.144333,-0.055977,-0.023642,0.106056,-0.109150,0.081031,-0.059269,-0.150989,0.154179,-0.091400,0.036833,0.041620,-0.052644,-0.052522,0.122227,-0.037920,0.048100,0.045988,-0.125238,-0.042939,0.041086,-0.050219,0.053482,-0.031559,0.051490,0.081831,-0.116748,-0.127027,0.125636,-0.136647,0.140230,0.117188,-0.114144,0.142468,-0.158164,0.001187,0.000159,0.014615,-0.028088,0.129664,-0.129460,0.130527,-0.129441,0.165875,-0.165865,0.159384,-0.136906,0.142608,-0.142616,0.138247,-0.114466,0.173338,-0.173297,0.164523,-0.141288,-0.105893,0.105915,-0.104243,0.100123,0.121371,-0.121728,0.123110,-0.099190,0.099571,-0.099121,0.074182,0.000183,0.145371,-0.146059,0.152645,-0.155470,-0.072092,0.076920,-0.114842,0.111424
PC2,-0.064792,0.081078,0.075934,-0.131814,0.084310,-0.097434,-0.046120,0.112398,0.105787,-0.094523,0.154157,-0.173107,-0.066541,0.044645,-0.171689,0.197241,-0.211085,0.209670,-0.161099,0.011135,0.215154,-0.213135,0.185331,-0.045934,0.129212,-0.136873,0.086336,-0.040699,0.151714,-0.160787,0.038696,0.044636,-0.075931,0.079563,-0.041175,0.009390,0.166391,-0.169212,0.132836,-0.092329,0.123621,-0.125910,0.095528,-0.058679,0.065777,-0.064633,0.075238,-0.082405,-0.026350,0.025788,0.032831,-0.094221,-0.078484,0.077939,-0.018667,-0.055680,-0.000617,0.000108,0.054243,-0.107715,-0.105792,0.105551,-0.090494,0.073256,-0.158487,0.157137,-0.128237,0.042818,-0.159389,0.155783,-0.061962,-0.097942,-0.114591,0.114398,-0.110892,0.102650,-0.012283,0.004404,0.090258,-0.139200
PC3,-0.048510,0.056834,0.041765,-0.078079,0.044696,-0.052970,-0.046060,0.083214,-0.089169,0.094162,-0.054642,0.029212,0.109769,-0.114893,0.049484,-0.003691,-0.006459,0.016767,0.069491,-0.110962,0.024121,-0.030754,-0.029061,0.080162,0.105757,-0.099682,0.131025,-0.145379,-0.027269,0.004746,-0.121129,0.131063,0.117836,-0.117776,0.114915,-0.108650,0.071418,-0.072271,0.060505,-0.046271,0.217903,-0.217173,0.217412,-0.201219,-0.128204,0.128910,-0.120587,0.112567,0.117744,-0.117920,0.131965,-0.134712,0.139370,-0.139802,0.171930,-0.187255,0.081772,-0.081907,0.092889,-0.096694,0.085545,-0.085569,0.087980,-0.088862,0.081107,-0.084472,0.135673,-0.205552,0.129675,-0.136680,0.232916,-0.224549,0.015538,-0.015908,0.020716,-0.026588,0.087275,-0.092568,0.132732,-0.126272
PC4,0.070088,-0.067699,0.055715,-0.022852,-0.067486,0.065154,-0.055588,0.022592,-0.143462,0.139465,-0.152873,0.147028,0.046637,-0.040745,0.067617,-0.065483,-0.000829,-0.003417,-0.029044,0.043657,-0.026948,0.027590,-0.017666,-0.004330,-0.233591,0.226610,-0.256056,0.260406,0.203576,-0.172845,0.241854,-0.177171,0.104364,-0.103523,0.110394,-0.111342,-0.014699,0.014425,-0.018231,0.019809,0.088177,-0.086795,0.097858,-0.101834,-0.091586,0.092219,-0.084514,0.077650,0.072340,-0.072429,0.072836,-0.065787,-0.024082,0.024165,-0.034722,0.043115,0.107180,-0.107294,0.108781,-0.100636,-0.193820,0.194042,-0.208328,0.219017,-0.050904,0.052017,-0.069272,0.089095,-0.001308,0.002034,-0.016805,0.028266,-0.108578,0.107806,-0.096853,0.079133,0.167929,-0.165129,0.096048,-0.016491
PC5,-0.150594,0.117647,-0.326432,0.293931,0.155641,-0.122524,0.344400,-0.311587,0.051369,-0.066265,-0.039936,0.091464,-0.030693,0.047725,0.086133,-0.133764,-0.059214,0.035978,-0.208063,0.247432,0.050362,-0.030181,0.185301,-0.254463,0.041783,-0.038205,0.057090,-0.067605,0.008332,0.018747,0.134461,-0.157884,0.032779,-0.033459,0.026045,-0.019144,0.027818,-0.023630,0.069774,-0.104854,0.083809,-0.078045,0.143576,-0.195086,-0.050251,0.051265,-0.040257,0.031428,-0.040099,0.040212,-0.052199,0.060510,0.098767,-0.098730,0.094240,-0.076442,-0.028931,0.029076,-0.042383,0.052921,-0.005898,0.005752,0.002165,-0.010110,0.045562,-0.043518,0.010092,0.055615,0.009618,-0.005039,-0.073130,0.131532,0.031264,-0.030994,0.027202,-0.021249,0.094848,-0.089029,0.004911,0.058969
PC6,-0.133679,0.136590,-0.051041,-0.021872,0.126445,-0.129272,0.048701,0.024353,-0.211165,0.217725,-0.161064,0.117102,0.189295,-0.195712,0.105883,-0.032993,-0.128746,0.127090,-0.105628,0.016910,0.083266,-0.085912,0.049800,0.021587,-0.155551,0.153985,-0.157107,0.147441,0.246705,-0.242930,0.142296,-0.027737,-0.105228,0.104788,-0.109936,0.108595,0.032313,-0.032184,0.035721,-0.035119,-0.079959,0.078061,-0.094842,0.104802,0.146234,-0.145546,0.151285,-0.153496,-0.001126,0.000900,0.029905,-0.061528,0.011029,-0.011390,0.055256,-0.101627,-0.038120,0.037931,-0.010987,-0.019125,0.148554,-0.148593,0.154508,-0.158011,0.016779,-0.019919,0.071985,-0.159803,0.023288,-0.027533,0.101582,-0.143788,0.033905,-0.035277,0.051790,-0.071184,-0.149491,0.146461,-0.075239,-0.002433
