feature_group,original_feature,principal_component,contribution
M-H_M_H_H,M-H_M_H_H_n10_n20_l0,M-H_M_H_H_PC1,0.001499
M-H_M_H_H,M-H_M_H_H_n10_n20_l1,M-H_M_H_H_PC1,0.037974
M-H_M_H_H,M-H_M_H_H_n10_n20_l2,M-H_M_H_H_PC1,0.187211
M-H_M_H_H,M-H_M_H_H_n10_n20_l3,M-H_M_H_H_PC1,-0.176056
M-H_M_H_H,M-H_M_H_H_n10_n20_l4,M-H_M_H_H_PC1,-0.068839
M-H_M_H_H,M-H_M_H_H_n10_n21_l0,M-H_M_H_H_PC1,-0.186389
M-H_M_H_H,M-H_M_H_H_n10_n21_l1,M-H_M_H_H_PC1,0.176251
M-H_M_H_H,M-H_M_H_H_n10_n21_l2,M-H_M_H_H_PC1,0.159473
M-H_M_H_H,M-H_M_H_H_n10_n21_l3,M-H_M_H_H_PC1,0.005006
M-H_M_H_H,M-H_M_H_H_n10_n21_l4,M-H_M_H_H_PC1,-0.173898
M-H_M_H_H,M-H_M_H_H_n10_n22_l0,M-H_M_H_H_PC1,0.078450
M-H_M_H_H,M-H_M_H_H_n10_n22_l1,M-H_M_H_H_PC1,-0.034766
M-H_M_H_H,M-H_M_H_H_n10_n22_l2,M-H_M_H_H_PC1,0.185206
M-H_M_H_H,M-H_M_H_H_n10_n22_l3,M-H_M_H_H_PC1,-0.174434
M-H_M_H_H,M-H_M_H_H_n10_n22_l4,M-H_M_H_H_PC1,-0.009866
M-H_M_H_H,M-H_M_H_H_n10_n23_l0,M-H_M_H_H_PC1,-0.182947
M-H_M_H_H,M-H_M_H_H_n10_n23_l1,M-H_M_H_H_PC1,0.176022
M-H_M_H_H,M-H_M_H_H_n10_n23_l2,M-H_M_H_H_PC1,0.176086
M-H_M_H_H,M-H_M_H_H_n10_n23_l3,M-H_M_H_H_PC1,-0.071758
M-H_M_H_H,M-H_M_H_H_n10_n23_l4,M-H_M_H_H_PC1,-0.172649
M-H_M_H_H,M-H_M_H_H_n11_n21_l0,M-H_M_H_H_PC1,0.063943
M-H_M_H_H,M-H_M_H_H_n11_n21_l1,M-H_M_H_H_PC1,-0.042676
M-H_M_H_H,M-H_M_H_H_n11_n21_l2,M-H_M_H_H_PC1,0.178042
M-H_M_H_H,M-H_M_H_H_n11_n21_l3,M-H_M_H_H_PC1,-0.176657
M-H_M_H_H,M-H_M_H_H_n11_n21_l4,M-H_M_H_H_PC1,0.020981
M-H_M_H_H,M-H_M_H_H_n11_n22_l0,M-H_M_H_H_PC1,-0.175602
M-H_M_H_H,M-H_M_H_H_n11_n22_l1,M-H_M_H_H_PC1,0.176994
M-H_M_H_H,M-H_M_H_H_n11_n22_l2,M-H_M_H_H_PC1,0.182632
M-H_M_H_H,M-H_M_H_H_n11_n22_l3,M-H_M_H_H_PC1,-0.114404
M-H_M_H_H,M-H_M_H_H_n11_n22_l4,M-H_M_H_H_PC1,-0.170391
M-H_M_H_H,M-H_M_H_H_n11_n23_l0,M-H_M_H_H_PC1,0.038795
M-H_M_H_H,M-H_M_H_H_n11_n23_l1,M-H_M_H_H_PC1,-0.033816
M-H_M_H_H,M-H_M_H_H_n11_n23_l2,M-H_M_H_H_PC1,0.165664
M-H_M_H_H,M-H_M_H_H_n11_n23_l3,M-H_M_H_H_PC1,-0.179387
M-H_M_H_H,M-H_M_H_H_n11_n23_l4,M-H_M_H_H_PC1,0.028876
M-H_M_H_H,M-H_M_H_H_n12_n22_l0,M-H_M_H_H_PC1,-0.164631
M-H_M_H_H,M-H_M_H_H_n12_n22_l1,M-H_M_H_H_PC1,0.178770
M-H_M_H_H,M-H_M_H_H_n12_n22_l2,M-H_M_H_H_PC1,0.183545
M-H_M_H_H,M-H_M_H_H_n12_n22_l3,M-H_M_H_H_PC1,-0.137698
M-H_M_H_H,M-H_M_H_H_n12_n22_l4,M-H_M_H_H_PC1,-0.166864
M-H_M_H_H,M-H_M_H_H_n12_n23_l0,M-H_M_H_H_PC1,0.017554
M-H_M_H_H,M-H_M_H_H_n12_n23_l1,M-H_M_H_H_PC1,-0.021849
M-H_M_H_H,M-H_M_H_H_n12_n23_l2,M-H_M_H_H_PC1,0.149770
M-H_M_H_H,M-H_M_H_H_n12_n23_l3,M-H_M_H_H_PC1,-0.181826
M-H_M_H_H,M-H_M_H_H_n12_n23_l4,M-H_M_H_H_PC1,0.025945
M-H_M_H_H,M-H_M_H_H_n13_n23_l0,M-H_M_H_H_PC1,-0.150906
M-H_M_H_H,M-H_M_H_H_n13_n23_l1,M-H_M_H_H_PC1,0.180835
M-H_M_H_H,M-H_M_H_H_n13_n23_l2,M-H_M_H_H_PC1,0.180179
M-H_M_H_H,M-H_M_H_H_n13_n23_l3,M-H_M_H_H_PC1,-0.151939
M-H_M_H_H,M-H_M_H_H_n13_n23_l4,M-H_M_H_H_PC1,-0.161658
M-H_M_H_H,M-H_M_H_H_n10_n20_l0,M-H_M_H_H_PC2,0.223524
M-H_M_H_H,M-H_M_H_H_n10_n20_l1,M-H_M_H_H_PC2,-0.218074
M-H_M_H_H,M-H_M_H_H_n10_n20_l2,M-H_M_H_H_PC2,0.018116
M-H_M_H_H,M-H_M_H_H_n10_n20_l3,M-H_M_H_H_PC2,0.076208
M-H_M_H_H,M-H_M_H_H_n10_n20_l4,M-H_M_H_H_PC2,0.206088
M-H_M_H_H,M-H_M_H_H_n10_n21_l0,M-H_M_H_H_PC2,-0.025658
M-H_M_H_H,M-H_M_H_H_n10_n21_l1,M-H_M_H_H_PC2,-0.073727
M-H_M_H_H,M-H_M_H_H_n10_n21_l2,M-H_M_H_H_PC2,-0.102549
M-H_M_H_H,M-H_M_H_H_n10_n21_l3,M-H_M_H_H_PC2,0.194916
M-H_M_H_H,M-H_M_H_H_n10_n21_l4,M-H_M_H_H_PC2,-0.020499
M-H_M_H_H,M-H_M_H_H_n10_n22_l0,M-H_M_H_H_PC2,0.203157
M-H_M_H_H,M-H_M_H_H_n10_n22_l1,M-H_M_H_H_PC2,-0.219353
M-H_M_H_H,M-H_M_H_H_n10_n22_l2,M-H_M_H_H_PC2,0.036728
M-H_M_H_H,M-H_M_H_H_n10_n22_l3,M-H_M_H_H_PC2,0.083102
M-H_M_H_H,M-H_M_H_H_n10_n22_l4,M-H_M_H_H_PC2,0.222328
M-H_M_H_H,M-H_M_H_H_n10_n23_l0,M-H_M_H_H_PC2,-0.050713
M-H_M_H_H,M-H_M_H_H_n10_n23_l1,M-H_M_H_H_PC2,-0.077043
M-H_M_H_H,M-H_M_H_H_n10_n23_l2,M-H_M_H_H_PC2,-0.061115
M-H_M_H_H,M-H_M_H_H_n10_n23_l3,M-H_M_H_H_PC2,0.190285
M-H_M_H_H,M-H_M_H_H_n10_n23_l4,M-H_M_H_H_PC2,-0.027592
M-H_M_H_H,M-H_M_H_H_n11_n21_l0,M-H_M_H_H_PC2,0.210148
M-H_M_H_H,M-H_M_H_H_n11_n21_l1,M-H_M_H_H_PC2,-0.217470
M-H_M_H_H,M-H_M_H_H_n11_n21_l2,M-H_M_H_H_PC2,0.069813
M-H_M_H_H,M-H_M_H_H_n11_n21_l3,M-H_M_H_H_PC2,0.076412
M-H_M_H_H,M-H_M_H_H_n11_n21_l4,M-H_M_H_H_PC2,0.221652
M-H_M_H_H,M-H_M_H_H_n11_n22_l0,M-H_M_H_H_PC2,-0.078175
M-H_M_H_H,M-H_M_H_H_n11_n22_l1,M-H_M_H_H_PC2,-0.074923
M-H_M_H_H,M-H_M_H_H_n11_n22_l2,M-H_M_H_H_PC2,-0.024843
M-H_M_H_H,M-H_M_H_H_n11_n22_l3,M-H_M_H_H_PC2,0.167731
M-H_M_H_H,M-H_M_H_H_n11_n22_l4,M-H_M_H_H_PC2,-0.036925
M-H_M_H_H,M-H_M_H_H_n11_n23_l0,M-H_M_H_H_PC2,0.218406
M-H_M_H_H,M-H_M_H_H_n11_n23_l1,M-H_M_H_H_PC2,-0.219521
M-H_M_H_H,M-H_M_H_H_n11_n23_l2,M-H_M_H_H_PC2,0.103847
M-H_M_H_H,M-H_M_H_H_n11_n23_l3,M-H_M_H_H_PC2,0.066864
M-H_M_H_H,M-H_M_H_H_n11_n23_l4,M-H_M_H_H_PC2,0.220403
M-H_M_H_H,M-H_M_H_H_n12_n22_l0,M-H_M_H_H_PC2,-0.105785
M-H_M_H_H,M-H_M_H_H_n12_n22_l1,M-H_M_H_H_PC2,-0.069117
M-H_M_H_H,M-H_M_H_H_n12_n22_l2,M-H_M_H_H_PC2,0.009279
M-H_M_H_H,M-H_M_H_H_n12_n22_l3,M-H_M_H_H_PC2,0.145762
M-H_M_H_H,M-H_M_H_H_n12_n22_l4,M-H_M_H_H_PC2,-0.048088
M-H_M_H_H,M-H_M_H_H_n12_n23_l0,M-H_M_H_H_PC2,0.221532
M-H_M_H_H,M-H_M_H_H_n12_n23_l1,M-H_M_H_H_PC2,-0.221121
M-H_M_H_H,M-H_M_H_H_n12_n23_l2,M-H_M_H_H_PC2,0.133454
M-H_M_H_H,M-H_M_H_H_n12_n23_l3,M-H_M_H_H_PC2,0.056790
M-H_M_H_H,M-H_M_H_H_n12_n23_l4,M-H_M_H_H_PC2,0.220544
M-H_M_H_H,M-H_M_H_H_n13_n23_l0,M-H_M_H_H_PC2,-0.131108
M-H_M_H_H,M-H_M_H_H_n13_n23_l1,M-H_M_H_H_PC2,-0.061156
M-H_M_H_H,M-H_M_H_H_n13_n23_l2,M-H_M_H_H_PC2,0.041664
M-H_M_H_H,M-H_M_H_H_n13_n23_l3,M-H_M_H_H_PC2,0.126762
M-H_M_H_H,M-H_M_H_H_n13_n23_l4,M-H_M_H_H_PC2,-0.060926
M-H_M_H_O,M-H_M_H_O_n10_n20_l0,M-H_M_H_O_PC1,0.167283
M-H_M_H_O,M-H_M_H_O_n10_n20_l1,M-H_M_H_O_PC1,-0.171369
M-H_M_H_O,M-H_M_H_O_n10_n20_l2,M-H_M_H_O_PC1,-0.097147
M-H_M_H_O,M-H_M_H_O_n10_n20_l3,M-H_M_H_O_PC1,0.180251
M-H_M_H_O,M-H_M_H_O_n10_n20_l4,M-H_M_H_O_PC1,-0.173990
M-H_M_H_O,M-H_M_H_O_n10_n21_l0,M-H_M_H_O_PC1,0.174599
M-H_M_H_O,M-H_M_H_O_n10_n21_l1,M-H_M_H_O_PC1,0.090151
M-H_M_H_O,M-H_M_H_O_n10_n21_l2,M-H_M_H_O_PC1,-0.179613
M-H_M_H_O,M-H_M_H_O_n10_n21_l3,M-H_M_H_O_PC1,-0.045701
M-H_M_H_O,M-H_M_H_O_n10_n21_l4,M-H_M_H_O_PC1,0.023100
M-H_M_H_O,M-H_M_H_O_n10_n22_l0,M-H_M_H_O_PC1,-0.094908
M-H_M_H_O,M-H_M_H_O_n10_n22_l1,M-H_M_H_O_PC1,0.139840
M-H_M_H_O,M-H_M_H_O_n10_n22_l2,M-H_M_H_O_PC1,0.136790
M-H_M_H_O,M-H_M_H_O_n10_n22_l3,M-H_M_H_O_PC1,-0.145239
M-H_M_H_O,M-H_M_H_O_n10_n22_l4,M-H_M_H_O_PC1,0.080763
M-H_M_H_O,M-H_M_H_O_n10_n23_l0,M-H_M_H_O_PC1,0.158914
M-H_M_H_O,M-H_M_H_O_n10_n23_l1,M-H_M_H_O_PC1,0.034863
M-H_M_H_O,M-H_M_H_O_n10_n23_l2,M-H_M_H_O_PC1,0.019661
M-H_M_H_O,M-H_M_H_O_n10_n23_l3,M-H_M_H_O_PC1,0.068884
M-H_M_H_O,M-H_M_H_O_n10_n23_l4,M-H_M_H_O_PC1,-0.178126
M-H_M_H_O,M-H_M_H_O_n11_n20_l0,M-H_M_H_O_PC1,-0.071448
M-H_M_H_O,M-H_M_H_O_n11_n20_l1,M-H_M_H_O_PC1,0.014947
M-H_M_H_O,M-H_M_H_O_n11_n20_l2,M-H_M_H_O_PC1,-0.092622
M-H_M_H_O,M-H_M_H_O_n11_n20_l3,M-H_M_H_O_PC1,0.177749
M-H_M_H_O,M-H_M_H_O_n11_n20_l4,M-H_M_H_O_PC1,-0.115761
M-H_M_H_O,M-H_M_H_O_n11_n21_l0,M-H_M_H_O_PC1,0.120143
M-H_M_H_O,M-H_M_H_O_n11_n21_l1,M-H_M_H_O_PC1,-0.055253
M-H_M_H_O,M-H_M_H_O_n11_n21_l2,M-H_M_H_O_PC1,-0.148964
M-H_M_H_O,M-H_M_H_O_n11_n21_l3,M-H_M_H_O_PC1,0.167373
M-H_M_H_O,M-H_M_H_O_n11_n21_l4,M-H_M_H_O_PC1,-0.159235
M-H_M_H_O,M-H_M_H_O_n11_n22_l0,M-H_M_H_O_PC1,0.136652
M-H_M_H_O,M-H_M_H_O_n11_n22_l1,M-H_M_H_O_PC1,-0.063099
M-H_M_H_O,M-H_M_H_O_n11_n22_l2,M-H_M_H_O_PC1,-0.088924
M-H_M_H_O,M-H_M_H_O_n11_n22_l3,M-H_M_H_O_PC1,0.094214
M-H_M_H_O,M-H_M_H_O_n11_n22_l4,M-H_M_H_O_PC1,-0.106809
M-H_M_H_O,M-H_M_H_O_n11_n23_l0,M-H_M_H_O_PC1,-0.054667
M-H_M_H_O,M-H_M_H_O_n11_n23_l1,M-H_M_H_O_PC1,0.080276
M-H_M_H_O,M-H_M_H_O_n11_n23_l2,M-H_M_H_O_PC1,-0.086814
M-H_M_H_O,M-H_M_H_O_n11_n23_l3,M-H_M_H_O_PC1,0.102331
M-H_M_H_O,M-H_M_H_O_n11_n23_l4,M-H_M_H_O_PC1,0.055285
M-H_M_H_O,M-H_M_H_O_n12_n20_l0,M-H_M_H_O_PC1,-0.125744
M-H_M_H_O,M-H_M_H_O_n12_n20_l1,M-H_M_H_O_PC1,0.123696
M-H_M_H_O,M-H_M_H_O_n12_n20_l2,M-H_M_H_O_PC1,-0.117216
M-H_M_H_O,M-H_M_H_O_n12_n20_l3,M-H_M_H_O_PC1,-0.040894
M-H_M_H_O,M-H_M_H_O_n12_n20_l4,M-H_M_H_O_PC1,0.131328
M-H_M_H_O,M-H_M_H_O_n12_n21_l0,M-H_M_H_O_PC1,-0.124783
M-H_M_H_O,M-H_M_H_O_n12_n21_l1,M-H_M_H_O_PC1,0.096433
M-H_M_H_O,M-H_M_H_O_n12_n21_l2,M-H_M_H_O_PC1,0.018315
M-H_M_H_O,M-H_M_H_O_n12_n21_l3,M-H_M_H_O_PC1,-0.091178
M-H_M_H_O,M-H_M_H_O_n12_n21_l4,M-H_M_H_O_PC1,0.096770
M-H_M_H_O,M-H_M_H_O_n12_n22_l0,M-H_M_H_O_PC1,-0.118689
M-H_M_H_O,M-H_M_H_O_n12_n22_l1,M-H_M_H_O_PC1,0.054549
M-H_M_H_O,M-H_M_H_O_n12_n22_l2,M-H_M_H_O_PC1,0.089998
M-H_M_H_O,M-H_M_H_O_n12_n22_l3,M-H_M_H_O_PC1,-0.095736
M-H_M_H_O,M-H_M_H_O_n12_n22_l4,M-H_M_H_O_PC1,0.118255
M-H_M_H_O,M-H_M_H_O_n12_n23_l0,M-H_M_H_O_PC1,-0.055211
M-H_M_H_O,M-H_M_H_O_n12_n23_l1,M-H_M_H_O_PC1,-0.122532
M-H_M_H_O,M-H_M_H_O_n12_n23_l2,M-H_M_H_O_PC1,0.120517
M-H_M_H_O,M-H_M_H_O_n12_n23_l3,M-H_M_H_O_PC1,-0.112106
M-H_M_H_O,M-H_M_H_O_n12_n23_l4,M-H_M_H_O_PC1,0.009686
M-H_M_H_O,M-H_M_H_O_n13_n20_l0,M-H_M_H_O_PC1,0.136270
M-H_M_H_O,M-H_M_H_O_n13_n20_l1,M-H_M_H_O_PC1,-0.127811
M-H_M_H_O,M-H_M_H_O_n13_n20_l2,M-H_M_H_O_PC1,0.072471
M-H_M_H_O,M-H_M_H_O_n13_n20_l3,M-H_M_H_O_PC1,0.041992
M-H_M_H_O,M-H_M_H_O_n13_n20_l4,M-H_M_H_O_PC1,0.119349
M-H_M_H_O,M-H_M_H_O_n13_n21_l0,M-H_M_H_O_PC1,-0.122723
M-H_M_H_O,M-H_M_H_O_n13_n21_l1,M-H_M_H_O_PC1,0.114834
M-H_M_H_O,M-H_M_H_O_n13_n21_l2,M-H_M_H_O_PC1,0.152652
M-H_M_H_O,M-H_M_H_O_n13_n21_l3,M-H_M_H_O_PC1,-0.116129
M-H_M_H_O,M-H_M_H_O_n13_n21_l4,M-H_M_H_O_PC1,0.119414
M-H_M_H_O,M-H_M_H_O_n13_n22_l0,M-H_M_H_O_PC1,-0.111065
M-H_M_H_O,M-H_M_H_O_n13_n22_l1,M-H_M_H_O_PC1,-0.150709
M-H_M_H_O,M-H_M_H_O_n13_n22_l2,M-H_M_H_O_PC1,0.024900
M-H_M_H_O,M-H_M_H_O_n13_n22_l3,M-H_M_H_O_PC1,-0.021222
M-H_M_H_O,M-H_M_H_O_n13_n22_l4,M-H_M_H_O_PC1,-0.009930
M-H_M_H_O,M-H_M_H_O_n13_n23_l0,M-H_M_H_O_PC1,0.084086
M-H_M_H_O,M-H_M_H_O_n13_n23_l1,M-H_M_H_O_PC1,0.100717
M-H_M_H_O,M-H_M_H_O_n13_n23_l2,M-H_M_H_O_PC1,-0.109941
M-H_M_H_O,M-H_M_H_O_n13_n23_l3,M-H_M_H_O_PC1,0.129746
M-H_M_H_O,M-H_M_H_O_n13_n23_l4,M-H_M_H_O_PC1,0.086083
M-H_M_H_O,M-H_M_H_O_n10_n20_l0,M-H_M_H_O_PC2,-0.026341
M-H_M_H_O,M-H_M_H_O_n10_n20_l1,M-H_M_H_O_PC2,0.003560
M-H_M_H_O,M-H_M_H_O_n10_n20_l2,M-H_M_H_O_PC2,0.082185
M-H_M_H_O,M-H_M_H_O_n10_n20_l3,M-H_M_H_O_PC2,-0.018010
M-H_M_H_O,M-H_M_H_O_n10_n20_l4,M-H_M_H_O_PC2,0.024933
M-H_M_H_O,M-H_M_H_O_n10_n21_l0,M-H_M_H_O_PC2,-0.008813
M-H_M_H_O,M-H_M_H_O_n10_n21_l1,M-H_M_H_O_PC2,-0.070577
M-H_M_H_O,M-H_M_H_O_n10_n21_l2,M-H_M_H_O_PC2,0.018877
M-H_M_H_O,M-H_M_H_O_n10_n21_l3,M-H_M_H_O_PC2,-0.034559
M-H_M_H_O,M-H_M_H_O_n10_n21_l4,M-H_M_H_O_PC2,-0.018578
M-H_M_H_O,M-H_M_H_O_n10_n22_l0,M-H_M_H_O_PC2,0.106997
M-H_M_H_O,M-H_M_H_O_n10_n22_l1,M-H_M_H_O_PC2,-0.068182
M-H_M_H_O,M-H_M_H_O_n10_n22_l2,M-H_M_H_O_PC2,0.012641
M-H_M_H_O,M-H_M_H_O_n10_n22_l3,M-H_M_H_O_PC2,0.024296
M-H_M_H_O,M-H_M_H_O_n10_n22_l4,M-H_M_H_O_PC2,-0.101880
M-H_M_H_O,M-H_M_H_O_n10_n23_l0,M-H_M_H_O_PC2,0.022166
M-H_M_H_O,M-H_M_H_O_n10_n23_l1,M-H_M_H_O_PC2,-0.154844
M-H_M_H_O,M-H_M_H_O_n10_n23_l2,M-H_M_H_O_PC2,0.163146
M-H_M_H_O,M-H_M_H_O_n10_n23_l3,M-H_M_H_O_PC2,-0.158889
M-H_M_H_O,M-H_M_H_O_n10_n23_l4,M-H_M_H_O_PC2,0.003729
M-H_M_H_O,M-H_M_H_O_n11_n20_l0,M-H_M_H_O_PC2,0.145682
M-H_M_H_O,M-H_M_H_O_n11_n20_l1,M-H_M_H_O_PC2,-0.163922
M-H_M_H_O,M-H_M_H_O_n11_n20_l2,M-H_M_H_O_PC2,0.148801
M-H_M_H_O,M-H_M_H_O_n11_n20_l3,M-H_M_H_O_PC2,-0.006687
M-H_M_H_O,M-H_M_H_O_n11_n20_l4,M-H_M_H_O_PC2,-0.114929
M-H_M_H_O,M-H_M_H_O_n11_n21_l0,M-H_M_H_O_PC2,0.115134
M-H_M_H_O,M-H_M_H_O_n11_n21_l1,M-H_M_H_O_PC2,-0.151387
M-H_M_H_O,M-H_M_H_O_n11_n21_l2,M-H_M_H_O_PC2,-0.001332
M-H_M_H_O,M-H_M_H_O_n11_n21_l3,M-H_M_H_O_PC2,0.044271
M-H_M_H_O,M-H_M_H_O_n11_n21_l4,M-H_M_H_O_PC2,-0.055840
M-H_M_H_O,M-H_M_H_O_n11_n22_l0,M-H_M_H_O_PC2,0.078046
M-H_M_H_O,M-H_M_H_O_n11_n22_l1,M-H_M_H_O_PC2,0.023997
M-H_M_H_O,M-H_M_H_O_n11_n22_l2,M-H_M_H_O_PC2,-0.017664
M-H_M_H_O,M-H_M_H_O_n11_n22_l3,M-H_M_H_O_PC2,0.016397
M-H_M_H_O,M-H_M_H_O_n11_n22_l4,M-H_M_H_O_PC2,-0.025543
M-H_M_H_O,M-H_M_H_O_n11_n23_l0,M-H_M_H_O_PC2,0.038792
M-H_M_H_O,M-H_M_H_O_n11_n23_l1,M-H_M_H_O_PC2,0.023744
M-H_M_H_O,M-H_M_H_O_n11_n23_l2,M-H_M_H_O_PC2,-0.022325
M-H_M_H_O,M-H_M_H_O_n11_n23_l3,M-H_M_H_O_PC2,0.030347
M-H_M_H_O,M-H_M_H_O_n11_n23_l4,M-H_M_H_O_PC2,-0.036667
M-H_M_H_O,M-H_M_H_O_n12_n20_l0,M-H_M_H_O_PC2,0.027678
M-H_M_H_O,M-H_M_H_O_n12_n20_l1,M-H_M_H_O_PC2,-0.028698
M-H_M_H_O,M-H_M_H_O_n12_n20_l2,M-H_M_H_O_PC2,0.016934
M-H_M_H_O,M-H_M_H_O_n12_n20_l3,M-H_M_H_O_PC2,0.054057
M-H_M_H_O,M-H_M_H_O_n12_n20_l4,M-H_M_H_O_PC2,-0.062547
M-H_M_H_O,M-H_M_H_O_n12_n21_l0,M-H_M_H_O_PC2,0.064308
M-H_M_H_O,M-H_M_H_O_n12_n21_l1,M-H_M_H_O_PC2,-0.056846
M-H_M_H_O,M-H_M_H_O_n12_n21_l2,M-H_M_H_O_PC2,-0.050725
M-H_M_H_O,M-H_M_H_O_n12_n21_l3,M-H_M_H_O_PC2,-0.174161
M-H_M_H_O,M-H_M_H_O_n12_n21_l4,M-H_M_H_O_PC2,0.178873
M-H_M_H_O,M-H_M_H_O_n12_n22_l0,M-H_M_H_O_PC2,-0.146109
M-H_M_H_O,M-H_M_H_O_n12_n22_l1,M-H_M_H_O_PC2,-0.165587
M-H_M_H_O,M-H_M_H_O_n12_n22_l2,M-H_M_H_O_PC2,0.174508
M-H_M_H_O,M-H_M_H_O_n12_n22_l3,M-H_M_H_O_PC2,-0.179202
M-H_M_H_O,M-H_M_H_O_n12_n22_l4,M-H_M_H_O_PC2,0.146050
M-H_M_H_O,M-H_M_H_O_n12_n23_l0,M-H_M_H_O_PC2,0.165224
M-H_M_H_O,M-H_M_H_O_n12_n23_l1,M-H_M_H_O_PC2,-0.149386
M-H_M_H_O,M-H_M_H_O_n12_n23_l2,M-H_M_H_O_PC2,0.156422
M-H_M_H_O,M-H_M_H_O_n12_n23_l3,M-H_M_H_O_PC2,-0.140117
M-H_M_H_O,M-H_M_H_O_n12_n23_l4,M-H_M_H_O_PC2,-0.186855
M-H_M_H_O,M-H_M_H_O_n13_n20_l0,M-H_M_H_O_PC2,0.102413
M-H_M_H_O,M-H_M_H_O_n13_n20_l1,M-H_M_H_O_PC2,-0.108233
M-H_M_H_O,M-H_M_H_O_n13_n20_l2,M-H_M_H_O_PC2,0.089093
M-H_M_H_O,M-H_M_H_O_n13_n20_l3,M-H_M_H_O_PC2,0.155076
M-H_M_H_O,M-H_M_H_O_n13_n20_l4,M-H_M_H_O_PC2,-0.146416
M-H_M_H_O,M-H_M_H_O_n13_n21_l0,M-H_M_H_O_PC2,0.148098
M-H_M_H_O,M-H_M_H_O_n13_n21_l1,M-H_M_H_O_PC2,-0.148423
M-H_M_H_O,M-H_M_H_O_n13_n21_l2,M-H_M_H_O_PC2,-0.109753
M-H_M_H_O,M-H_M_H_O_n13_n21_l3,M-H_M_H_O_PC2,0.150481
M-H_M_H_O,M-H_M_H_O_n13_n21_l4,M-H_M_H_O_PC2,-0.152189
M-H_M_H_O,M-H_M_H_O_n13_n22_l0,M-H_M_H_O_PC2,0.152060
M-H_M_H_O,M-H_M_H_O_n13_n22_l1,M-H_M_H_O_PC2,0.113366
M-H_M_H_O,M-H_M_H_O_n13_n22_l2,M-H_M_H_O_PC2,-0.191848
M-H_M_H_O,M-H_M_H_O_n13_n22_l3,M-H_M_H_O_PC2,0.192378
M-H_M_H_O,M-H_M_H_O_n13_n22_l4,M-H_M_H_O_PC2,-0.173022
M-H_M_H_O,M-H_M_H_O_n13_n23_l0,M-H_M_H_O_PC2,-0.165465
M-H_M_H_O,M-H_M_H_O_n13_n23_l1,M-H_M_H_O_PC2,0.135747
M-H_M_H_O,M-H_M_H_O_n13_n23_l2,M-H_M_H_O_PC2,-0.125181
M-H_M_H_O,M-H_M_H_O_n13_n23_l3,M-H_M_H_O_PC2,0.075328
M-H_M_H_O,M-H_M_H_O_n13_n23_l4,M-H_M_H_O_PC2,0.130391
M-H_M_H_O,M-H_M_H_O_n10_n20_l0,M-H_M_H_O_PC3,0.007772
M-H_M_H_O,M-H_M_H_O_n10_n20_l1,M-H_M_H_O_PC3,-0.015072
M-H_M_H_O,M-H_M_H_O_n10_n20_l2,M-H_M_H_O_PC3,0.135167
M-H_M_H_O,M-H_M_H_O_n10_n20_l3,M-H_M_H_O_PC3,-0.025317
M-H_M_H_O,M-H_M_H_O_n10_n20_l4,M-H_M_H_O_PC3,0.000550
M-H_M_H_O,M-H_M_H_O_n10_n21_l0,M-H_M_H_O_PC3,0.004841
M-H_M_H_O,M-H_M_H_O_n10_n21_l1,M-H_M_H_O_PC3,-0.122808
M-H_M_H_O,M-H_M_H_O_n10_n21_l2,M-H_M_H_O_PC3,0.025577
M-H_M_H_O,M-H_M_H_O_n10_n21_l3,M-H_M_H_O_PC3,0.056336
M-H_M_H_O,M-H_M_H_O_n10_n21_l4,M-H_M_H_O_PC3,-0.098251
M-H_M_H_O,M-H_M_H_O_n10_n22_l0,M-H_M_H_O_PC3,0.144091
M-H_M_H_O,M-H_M_H_O_n10_n22_l1,M-H_M_H_O_PC3,-0.034116
M-H_M_H_O,M-H_M_H_O_n10_n22_l2,M-H_M_H_O_PC3,-0.048570
M-H_M_H_O,M-H_M_H_O_n10_n22_l3,M-H_M_H_O_PC3,0.073011
M-H_M_H_O,M-H_M_H_O_n10_n22_l4,M-H_M_H_O_PC3,-0.127554
M-H_M_H_O,M-H_M_H_O_n10_n23_l0,M-H_M_H_O_PC3,-0.012545
M-H_M_H_O,M-H_M_H_O_n10_n23_l1,M-H_M_H_O_PC3,0.121119
M-H_M_H_O,M-H_M_H_O_n10_n23_l2,M-H_M_H_O_PC3,-0.141236
M-H_M_H_O,M-H_M_H_O_n10_n23_l3,M-H_M_H_O_PC3,0.079987
M-H_M_H_O,M-H_M_H_O_n10_n23_l4,M-H_M_H_O_PC3,0.066615
M-H_M_H_O,M-H_M_H_O_n11_n20_l0,M-H_M_H_O_PC3,-0.095304
M-H_M_H_O,M-H_M_H_O_n11_n20_l1,M-H_M_H_O_PC3,0.123529
M-H_M_H_O,M-H_M_H_O_n11_n20_l2,M-H_M_H_O_PC3,-0.065400
M-H_M_H_O,M-H_M_H_O_n11_n20_l3,M-H_M_H_O_PC3,-0.058299
M-H_M_H_O,M-H_M_H_O_n11_n20_l4,M-H_M_H_O_PC3,0.150549
M-H_M_H_O,M-H_M_H_O_n11_n21_l0,M-H_M_H_O_PC3,-0.152960
M-H_M_H_O,M-H_M_H_O_n11_n21_l1,M-H_M_H_O_PC3,0.109140
M-H_M_H_O,M-H_M_H_O_n11_n21_l2,M-H_M_H_O_PC3,0.127966
