principal_component,M-H_H_H_O_n10_n20_l0,M-H_H_H_O_n10_n20_l1,M-H_H_H_O_n10_n20_l2,M-H_H_H_O_n10_n20_l3,M-H_H_H_O_n10_n20_l4,M-H_H_H_O_n10_n21_l0,M-H_H_H_O_n10_n21_l1,M-H_H_H_O_n10_n21_l2,M-H_H_H_O_n10_n21_l3,M-H_H_H_O_n10_n21_l4,M-H_H_H_O_n10_n22_l0,M-H_H_H_O_n10_n22_l1,M-H_H_H_O_n10_n22_l2,M-H_H_H_O_n10_n22_l3,M-H_H_H_O_n10_n22_l4,M-H_H_H_O_n10_n23_l0
PC1,0.286037,-0.247826,0.276317,-0.174395,0.286037,-0.247826,0.276317,-0.174395,0.286037,-0.247826,0.276317,-0.174395,0.286037,-0.247826,0.276317,-0.174395
PC2,0.181363,-0.252985,-0.203842,0.333997,0.181363,-0.252985,-0.203842,0.333997,0.181363,-0.252985,-0.203842,0.333997,0.181363,-0.252985,-0.203842,0.333997
