principal_component,M-H_H_M_M_n10_n20_l0,M-H_H_M_M_n10_n20_l1,M-H_H_M_M_n10_n20_l2,M-H_H_M_M_n10_n20_l3,M-H_H_M_M_n10_n20_l4,M-H_H_M_M_n10_n21_l0,M-H_H_M_M_n10_n21_l1,M-H_H_M_M_n10_n21_l2,M-H_H_M_M_n10_n21_l3,M-H_H_M_M_n10_n21_l4,M-H_H_M_M_n10_n22_l0,M-H_H_M_M_n10_n22_l1,M-H_H_M_M_n10_n22_l2,M-H_H_M_M_n10_n22_l3,M-H_H_M_M_n10_n22_l4,M-H_H_M_M_n10_n23_l0,M-H_H_M_M_n10_n23_l1,M-H_H_M_M_n10_n23_l2,M-H_H_M_M_n10_n23_l3,M-H_H_M_M_n10_n23_l4,M-H_H_M_M_n11_n21_l0,M-H_H_M_M_n11_n21_l1,M-H_H_M_M_n11_n21_l2,M-H_H_M_M_n11_n21_l3,M-H_H_M_M_n11_n21_l4,M-H_H_M_M_n11_n22_l0,M-H_H_M_M_n11_n22_l1,M-H_H_M_M_n11_n22_l2,M-H_H_M_M_n11_n22_l3,M-H_H_M_M_n11_n22_l4,M-H_H_M_M_n11_n23_l0,M-H_H_M_M_n11_n23_l1,M-H_H_M_M_n11_n23_l2,M-H_H_M_M_n11_n23_l3,M-H_H_M_M_n11_n23_l4,M-H_H_M_M_n12_n22_l0,M-H_H_M_M_n12_n22_l1,M-H_H_M_M_n12_n22_l2,M-H_H_M_M_n12_n22_l3,M-H_H_M_M_n12_n22_l4,M-H_H_M_M_n12_n23_l0,M-H_H_M_M_n12_n23_l1,M-H_H_M_M_n12_n23_l2,M-H_H_M_M_n12_n23_l3,M-H_H_M_M_n12_n23_l4,M-H_H_M_M_n13_n23_l0,M-H_H_M_M_n13_n23_l1,M-H_H_M_M_n13_n23_l2,M-H_H_M_M_n13_n23_l3,M-H_H_M_M_n13_n23_l4
PC1,0.001499,0.037974,0.187211,-0.176056,-0.068839,-0.186389,0.176251,0.159473,0.005006,-0.173898,0.078450,-0.034766,0.185206,-0.174434,-0.009866,-0.182947,0.176022,0.176086,-0.071758,-0.172649,0.063943,-0.042676,0.178042,-0.176657,0.020981,-0.175602,0.176994,0.182632,-0.114404,-0.170391,0.038795,-0.033816,0.165664,-0.179387,0.028876,-0.164631,0.178770,0.183545,-0.137698,-0.166864,0.017554,-0.021849,0.149770,-0.181826,0.025945,-0.150906,0.180835,0.180179,-0.151939,-0.161658
PC2,0.223524,-0.218074,0.018116,0.076208,0.206088,-0.025658,-0.073727,-0.102549,0.194916,-0.020499,0.203157,-0.219353,0.036728,0.083102,0.222328,-0.050713,-0.077043,-0.061115,0.190285,-0.027592,0.210148,-0.217470,0.069813,0.076412,0.221652,-0.078175,-0.074923,-0.024843,0.167731,-0.036925,0.218406,-0.219521,0.103847,0.066864,0.220403,-0.105785,-0.069117,0.009279,0.145762,-0.048088,0.221532,-0.221121,0.133454,0.056790,0.220544,-0.131108,-0.061156,0.041664,0.126762,-0.060926
