principal_component,M-2H_H_Ce_Ce_n10_n20_l0_atom0,M-2H_H_Ce_Ce_n10_n20_l1_atom0,M-2H_H_Ce_Ce_n10_n20_l2_atom0,M-2H_H_Ce_Ce_n10_n20_l3_atom0,M-2H_H_Ce_Ce_n10_n20_l4_atom0,M-2H_H_Ce_Ce_n10_n21_l0_atom0,M-2H_H_Ce_Ce_n10_n21_l1_atom0,M-2H_H_Ce_Ce_n10_n21_l2_atom0,M-2H_H_Ce_Ce_n10_n21_l3_atom0,M-2H_H_Ce_Ce_n10_n21_l4_atom0,M-2H_H_Ce_Ce_n10_n22_l0_atom0,M-2H_H_Ce_Ce_n10_n22_l1_atom0,M-2H_H_Ce_Ce_n10_n22_l2_atom0,M-2H_H_Ce_Ce_n10_n22_l3_atom0,M-2H_H_Ce_Ce_n10_n22_l4_atom0,M-2H_H_Ce_Ce_n10_n23_l0_atom0,M-2H_H_Ce_Ce_n10_n23_l1_atom0,M-2H_H_Ce_Ce_n10_n23_l2_atom0,M-2H_H_Ce_Ce_n10_n23_l3_atom0,M-2H_H_Ce_Ce_n10_n23_l4_atom0,M-2H_H_Ce_Ce_n11_n21_l0_atom0,M-2H_H_Ce_Ce_n11_n21_l1_atom0,M-2H_H_Ce_Ce_n11_n21_l2_atom0,M-2H_H_Ce_Ce_n11_n21_l3_atom0,M-2H_H_Ce_Ce_n11_n21_l4_atom0,M-2H_H_Ce_Ce_n11_n22_l0_atom0,M-2H_H_Ce_Ce_n11_n22_l1_atom0,M-2H_H_Ce_Ce_n11_n22_l2_atom0,M-2H_H_Ce_Ce_n11_n22_l3_atom0,M-2H_H_Ce_Ce_n11_n22_l4_atom0,M-2H_H_Ce_Ce_n11_n23_l0_atom0,M-2H_H_Ce_Ce_n11_n23_l1_atom0,M-2H_H_Ce_Ce_n11_n23_l2_atom0,M-2H_H_Ce_Ce_n11_n23_l3_atom0,M-2H_H_Ce_Ce_n11_n23_l4_atom0,M-2H_H_Ce_Ce_n12_n22_l0_atom0,M-2H_H_Ce_Ce_n12_n22_l1_atom0,M-2H_H_Ce_Ce_n12_n22_l2_atom0,M-2H_H_Ce_Ce_n12_n22_l3_atom0,M-2H_H_Ce_Ce_n12_n22_l4_atom0,M-2H_H_Ce_Ce_n12_n23_l0_atom0,M-2H_H_Ce_Ce_n12_n23_l1_atom0,M-2H_H_Ce_Ce_n12_n23_l2_atom0,M-2H_H_Ce_Ce_n12_n23_l3_atom0,M-2H_H_Ce_Ce_n12_n23_l4_atom0,M-2H_H_Ce_Ce_n13_n23_l0_atom0,M-2H_H_Ce_Ce_n13_n23_l1_atom0,M-2H_H_Ce_Ce_n13_n23_l2_atom0,M-2H_H_Ce_Ce_n13_n23_l3_atom0,M-2H_H_Ce_Ce_n13_n23_l4_atom0
PC1,0.090406,-0.077189,0.126549,-0.151216,0.053735,-0.135525,0.166672,0.080474,-0.005706,-0.125147,0.068024,-0.031818,0.131458,-0.166163,-0.023220,-0.137151,0.176827,0.098139,-0.042024,-0.129001,-0.152041,0.158050,-0.053831,-0.186563,-0.163042,0.067382,0.187882,0.028451,-0.147742,-0.146902,-0.181916,0.182364,-0.158018,-0.189187,-0.182765,0.159767,0.189464,-0.098344,-0.179556,-0.163391,-0.183230,0.183299,-0.161988,-0.177109,-0.183335,0.161605,0.177543,-0.099091,-0.150716,-0.105111
PC2,0.184231,-0.188405,0.172026,-0.142979,0.195021,-0.159885,0.114696,0.209731,-0.212832,0.147689,0.217432,-0.224964,0.172794,-0.101408,0.222186,-0.164506,0.076519,0.183945,-0.167985,0.110241,0.142107,-0.130989,0.229383,-0.050274,0.120759,-0.220392,0.042378,0.244489,-0.116543,0.105277,0.071591,-0.070210,0.123669,-0.013130,0.068902,-0.120300,0.011233,0.194546,-0.043000,0.066978,0.060255,-0.061221,0.106669,-0.031443,0.062167,-0.107325,0.031120,0.149426,-0.059161,0.072779
PC3,-0.225077,0.244999,-0.119634,0.029347,-0.266704,0.130338,-0.037926,-0.001315,-0.110897,0.137159,-0.072457,0.104729,0.047532,-0.108270,-0.128141,-0.010461,0.064992,0.215031,-0.344315,0.278309,-0.102099,0.098004,-0.100106,-0.031983,-0.093594,0.110506,0.024430,0.050253,-0.192560,0.207104,-0.050663,0.050217,-0.078258,-0.007388,-0.049833,0.077051,0.008723,0.009171,-0.134346,0.183157,0.030578,-0.029616,0.062937,-0.058742,0.028780,-0.066449,0.066738,0.216499,-0.252672,0.352214
