principal_component,M-2H_M_O_M_n10_n20_l0,M-2H_M_O_M_n10_n20_l1,M-2H_M_O_M_n10_n20_l2,M-2H_M_O_M_n10_n20_l3,M-2H_M_O_M_n10_n20_l4,M-2H_M_O_M_n10_n21_l0,M-2H_M_O_M_n10_n21_l1,M-2H_M_O_M_n10_n21_l2,M-2H_M_O_M_n10_n21_l3,M-2H_M_O_M_n10_n21_l4,M-2H_M_O_M_n10_n22_l0,M-2H_M_O_M_n10_n22_l1,M-2H_M_O_M_n10_n22_l2,M-2H_M_O_M_n10_n22_l3,M-2H_M_O_M_n10_n22_l4,M-2H_M_O_M_n10_n23_l0
PC1,-0.260534,-0.260534,-0.260534,-0.260534,0.284480,0.284480,0.284480,0.284480,-0.241775,-0.241775,-0.241775,-0.241775,-0.206733,-0.206733,-0.206733,-0.206733
PC2,-0.004846,-0.004846,-0.004846,-0.004846,0.063208,0.063208,0.063208,0.063208,-0.273933,-0.273933,-0.273933,-0.273933,0.413451,0.413451,0.413451,0.413451
