principal_component,M-H_M_O_M_n10_n20_l0,M-H_M_O_M_n10_n20_l1,M-H_M_O_M_n10_n20_l2,M-H_M_O_M_n10_n20_l3,M-H_M_O_M_n10_n20_l4,M-H_M_O_M_n10_n21_l0,M-H_M_O_M_n10_n21_l1,M-H_M_O_M_n10_n21_l2,M-H_M_O_M_n10_n21_l3,M-H_M_O_M_n10_n21_l4,M-H_M_O_M_n10_n22_l0,M-H_M_O_M_n10_n22_l1,M-H_M_O_M_n10_n22_l2,M-H_M_O_M_n10_n22_l3,M-H_M_O_M_n10_n22_l4,M-H_M_O_M_n10_n23_l0
PC1,-0.254142,-0.254142,-0.254142,-0.254142,0.280208,0.280208,0.280208,0.280208,-0.242554,-0.242554,-0.242554,-0.242554,-0.219233,-0.219233,-0.219233,-0.219233
PC2,0.026540,0.026540,0.026540,0.026540,0.086704,0.086704,0.086704,0.086704,-0.287918,-0.287918,-0.287918,-0.287918,0.398599,0.398599,0.398599,0.398599
