Feature,Importance
M-2H_H_O_Ce_atom0_PC1,0.2859101077282971
M-2H_H_O_O_atom0_PC1,0.12797311121669583
M-2H_H_O_O_atom0_PC3,0.10388532746817213
M-2H_H_H_Ce_atom1_PC1,0.07880273621504329
M-2H_M_H_O_PC1,0.07775205271732015
M-2H_H_M_M_atom0_PC1,0.06963050295031285
M-2H_M_H_H_PC1,0.06555029981709787
M-2H_H_O_O_atom0_PC2,0.05799418115576897
M-2H_H_Ce_Ce_atom0_PC2,0.04281395170513897
M-2H_M_H_M_PC2,0.03812430773797581
M-2H_H_O_Ce_atom0_PC4,0.030663973812826123
M-2H_H_H_O_atom0_PC4,0.026836219931134355
M-2H_M_O_O_PC1,0.02533111121831503
M-H_M_O_O_PC1,0.02344465051895386
M-2H_H_M_Ce_atom0_PC6,0.02310315938723803
M-2H_H_H_O_atom0_PC2,0.022603859740247423
M-H_M_O_M_PC2,0.021765381990862927
M-2H_H_H_O_atom0_PC3,0.01827127809038427
M-2H_M_O_M_PC2,0.01820394479319037
M_M_O_Ce_PC4,0.01725336316406859
M-2H_M_H_Ce_PC3,0.014704382190673923
M-2H_H_Ce_Ce_atom0_PC3,0.013470441191472528
M-2H_H_H_O_atom0_PC1,0.01220056679098683
M-2H_H_H_Ce_atom0_PC3,0.012172607337686825
M-2H_M_H_O_PC3,0.012021409136861864
M-2H_H_O_Ce_atom1_PC6,0.011363307768601097
M-2H_H_O_O_atom1_PC5,0.011122303693554112
M-2H_H_H_M_atom0_PC2,0.01060368307199763
M-2H_H_O_M_atom0_PC7,0.010057497677160413
M-2H_H_Ce_Ce_atom0_PC1,0.009972324191647744
M-2H_H_O_M_atom0_PC1,0.00975695256273715
M-2H_H_O_Ce_atom1_PC5,0.009656444927422032
M-2H_H_O_O_atom1_PC2,0.009527867861312087
M_M_O_M_PC2,0.009441997779109219
M_M_Ce_Ce_PC2,0.009286428382980792
M-H_M_H_O_PC1,0.009154289238818496
M-2H_H_H_M_atom1_PC1,0.009037200098224682
M_M_O_O_PC1,0.008078869221901234
M-2H_H_O_M_atom0_PC6,0.00804440410150502
M-2H_H_O_M_atom0_PC2,0.0073993515027463465
M-2H_H_H_O_atom0_PC7,0.0073965205548862
M-2H_H_O_Ce_atom1_PC4,0.007162593714565457
M-2H_H_O_O_atom0_PC5,0.006681939244322171
M-2H_M_O_Ce_PC4,0.006374322791186114
M-2H_M_H_O_PC10,0.006323029300371233
M-H_H_M_M_PC1,0.006133622403477455
M-2H_M_O_O_PC4,0.006023755911679954
M-H_M_H_Ce_PC1,0.005971384927501028
M-2H_M_H_Ce_PC1,0.005708881951065867
M-H_H_H_O_PC1,0.005660901212910696
M-2H_H_O_O_atom1_PC4,0.005527936739775255
M-2H_H_H_Ce_atom1_PC4,0.005491188901225975
M-2H_H_O_M_atom0_PC10,0.005451903236206613
M-2H_H_O_Ce_atom0_PC3,0.005434155718006743
M-2H_H_Ce_Ce_atom1_PC3,0.005343696085324246
M-H_H_O_M_PC1,0.005307875145115292
M-H_M_Ce_Ce_PC2,0.005205209258406454
Electronegativity,0.005163325288084973
M-H_M_O_O_PC5,0.005012856408012135
M-2H_H_O_Ce_atom1_PC1,0.004848127820790205
M-2H_H_H_M_atom0_PC7,0.004738982700066828
M-2H_H_O_O_atom1_PC1,0.004500844025487387
M-H_M_H_O_PC3,0.004459625678137237
M-2H_H_O_Ce_atom0_PC6,0.004436349779738467
M-H_M_O_Ce_PC2,0.004435996715820887
M-2H_M_H_H_PC3,0.00441627897746308
M_M_O_O_PC4,0.004267921836612817
M-H_M_H_O_PC5,0.004172952653448967
M-H_M_O_Ce_PC1,0.004168187539410149
M-2H_M_H_Ce_PC7,0.0041535788857342
M-H_H_O_O_PC4,0.004153573643278181
