Feature,Importance
M-2H_M_O_O_PC2,0.0023738993937324356
M-2H_M_H_M_PC1,0.0023724195461767845
M-H_M_H_H_PC1,0.002357442883695892
M-2H_H_H_O_atom0_PC5,0.00235222613535231
M-H_H_O_M_PC6,0.002339848793036493
M-2H_H_O_M_atom1_PC3,0.002331504502940151
M-2H_H_H_Ce_atom0_PC7,0.0023180654537815135
M-2H_H_H_Ce_atom0_PC6,0.0022990412367197184
M-2H_H_H_M_atom0_PC10,0.0022908758615295334
M-2H_H_M_M_atom0_PC2,0.002199640368165251
M-2H_H_O_O_atom0_PC6,0.0021989586549354357
M-H_M_H_M_PC1,0.0021788261618164145
M-2H_H_O_Ce_atom0_PC5,0.002160039920441521
M-H_M_H_O_PC6,0.0021465479663760694
M-2H_H_M_Ce_atom0_PC10,0.0021410234348478046
M-2H_H_O_M_atom0_PC5,0.00213118924430959
M-2H_H_H_M_atom1_PC8,0.0021290282735995326
M-2H_M_H_H_PC4,0.0021272439457628886
M-H_M_O_O_PC2,0.002119800869825277
M-2H_M_H_Ce_PC5,0.0020907717348636486
M-H_M_H_O_PC4,0.0020530809800452608
M-2H_H_O_M_atom0_PC4,0.0020344472544102012
M-H_M_Ce_Ce_PC3,0.0020306669329299347
M-H_M_H_O_PC2,0.0020293668790554507
First_Ionization_Energy,0.0019927720256299897
M-2H_H_M_Ce_atom0_PC1,0.001954775611525054
M-H_H_O_Ce_PC2,0.0019517039993863555
M-H_M_O_O_PC4,0.0018906248709480988
M-H_H_O_Ce_PC4,0.0018838443203907124
M-2H_H_H_Ce_atom0_PC8,0.0018752807909884583
M-H_M_Ce_Ce_PC4,0.0018731036853061008
M-2H_H_H_H_atom1_PC1,0.0018659203322890481
M-2H_H_H_O_atom0_PC8,0.001864457663512922
M-2H_M_H_O_PC12,0.0018605922195017242
M-H_H_O_M_PC4,0.0018321034540822844
M-2H_M_O_Ce_PC1,0.0017857426576111275
M-2H_H_O_M_atom0_PC3,0.001784191400362778
M-H_H_M_Ce_PC1,0.0017695197483949391
M-H_H_M_Ce_PC2,0.0017670993939053726
M-2H_H_H_M_atom0_PC8,0.0017648356159750038
M-2H_H_H_M_atom1_PC5,0.0017433834664914807
M-H_M_O_M_PC1,0.0017311252054812622
M-2H_M_O_O_PC3,0.0017270390169375257
M-2H_M_O_M_PC1,0.0017245122170749239
M-2H_M_H_O_PC6,0.00171801995673524
M-2H_H_H_M_atom0_PC4,0.001703463447131808
M-2H_H_M_Ce_atom1_PC6,0.0016969533513748886
M-H_H_M_M_PC2,0.001689390645911459
Covalent_Radius,0.0016885012813775847
M-2H_M_O_O_PC5,0.0016833073353778416
M-2H_M_Ce_Ce_PC4,0.0016804935928405296
M-2H_H_O_Ce_atom1_PC3,0.0016758286794768531
M-2H_M_H_O_PC5,0.0016581085854285179
M-H_H_O_M_PC3,0.0016455055167642126
M_M_Ce_Ce_PC4,0.0016445705959721307
M-H_H_H_Ce_PC2,0.0015996135566296507
M-2H_H_H_M_atom0_PC3,0.0015983760165742954
M-H_H_O_Ce_PC5,0.00157165085717998
M-2H_H_H_Ce_atom1_PC6,0.0015687248256618612
M-2H_H_H_O_atom1_PC3,0.0015207783015971869
M-2H_H_H_M_atom0_PC1,0.001516522460115978
M-H_H_Ce_Ce_PC1,0.00150399740105573
M-H_H_O_Ce_PC3,0.0015021350615671983
M-2H_H_H_M_atom1_PC7,0.0014990338724044424
M-2H_H_O_Ce_atom0_PC8,0.0014863584694627932
M_M_O_Ce_PC2,0.0014853160030372464
M-2H_M_H_O_PC9,0.0014779095052549164
M-2H_M_O_Ce_PC5,0.0014685122879524147
M_M_Ce_Ce_PC3,0.001445811349135999
M-2H_H_H_M_atom1_PC6,0.0014353950408705957
M-2H_H_M_Ce_atom1_PC5,0.0014234234655453196
M-H_M_O_Ce_PC5,0.0014176042497539049
M-2H_H_M_Ce_atom0_PC8,0.0014147937347626168
M-H_H_M_Ce_PC4,0.0014132068115668256
M_M_Ce_Ce_PC1,0.001401966240112143
M-2H_H_M_Ce_atom0_PC7,0.001401710348307102
M-H_H_O_M_PC5,0.0013324525584054638
M-H_H_Ce_Ce_PC3,0.0013220393340515838
M-H_M_H_Ce_PC2,0.0013179633882286078
M-2H_H_O_M_atom0_PC11,0.0013033356828886645
M-2H_H_M_Ce_atom0_PC4,0.0012815125122069703
M-H_M_H_H_PC2,0.001275366202459508
M-H_M_H_O_PC8,0.0012713496086286602
M_M_O_Ce_PC5,0.0012700782321427315
M-H_M_O_O_PC6,0.0012675243678819282
M-2H_H_H_Ce_atom1_PC3,0.0012623331464241647
M-2H_H_H_H_atom0_PC2,0.0012591414902721912
M-2H_M_Ce_Ce_PC3,0.0012574160274018335
M-2H_H_H_O_atom1_PC6,0.0012359495502243082
