Feature,Importance
M-2H_H_O_M_atom1_PC6,0.0008517270174791517
M-2H_M_H_O_PC9,0.000841525471524732
Group,0.0008286179723436244
M-H_M_Ce_Ce_PC2,0.0008279739430251855
M-2H_H_H_M_atom0_PC3,0.0008239449364403833
M-2H_H_H_Ce_atom0_PC7,0.0008100771998413773
M-2H_H_H_O_atom0_PC8,0.0007998039734086541
M_M_O_Ce_PC3,0.0007932025284301143
M-2H_H_H_O_atom0_PC12,0.0007854962628530652
M-2H_H_O_M_atom0_PC8,0.0007774998244929878
M-2H_H_O_O_atom0_PC7,0.0007753416486011586
M-2H_H_H_O_atom0_PC10,0.0007668224126410842
M-2H_H_O_Ce_atom1_PC2,0.0007619033862630068
M-2H_M_H_Ce_PC2,0.0007584685942500486
M-2H_H_H_H_atom1_PC1,0.00075632845671735
M-2H_M_H_O_PC8,0.0007559195328299363
M-2H_M_O_O_PC2,0.0007393751999139306
M-2H_H_H_O_atom0_PC5,0.0007392159664705388
M-2H_H_O_O_atom0_PC4,0.0007315595274654912
M_M_Ce_Ce_PC4,0.0007305084872084038
M-H_H_O_M_PC3,0.0007237838412448681
M-H_M_H_O_PC4,0.000718993547404571
M_M_Ce_Ce_PC3,0.0007178267980829284
M-2H_H_H_Ce_atom0_PC8,0.0007122679040986046
M-2H_H_O_Ce_atom0_PC5,0.0007070145607681723
M-H_H_Ce_Ce_PC3,0.0007032684410950889
M_M_Ce_Ce_PC1,0.0007023557909133203
M-H_M_H_O_PC5,0.0006915351754902342
M-H_H_H_M_PC1,0.0006889827167277522
M-2H_H_O_M_atom0_PC3,0.0006888943273772487
M-2H_M_O_Ce_PC5,0.0006795119229186584
M-2H_M_H_O_PC5,0.0006740322423611644
M-H_H_M_Ce_PC2,0.0006542065756074307
M-2H_H_O_M_atom0_PC4,0.0006390136234602421
M-H_M_O_O_PC4,0.0006343644439416003
M-2H_H_M_Ce_atom1_PC5,0.0006275215605993475
M-2H_H_H_M_atom0_PC1,0.0006229617440514272
M-H_H_O_M_PC4,0.0006229015336943918
M-2H_H_M_Ce_atom0_PC10,0.0006118101416135093
M-H_M_H_M_PC1,0.0006043657126344863
M-2H_H_H_Ce_atom1_PC6,0.0005997255894348022
M-2H_H_M_Ce_atom0_PC7,0.0005952226068723944
M-2H_H_H_O_atom1_PC8,0.0005884836179541751
M-2H_M_H_O_PC6,0.00058793764144012
M-H_H_O_O_PC5,0.0005824184474005434
M-H_M_H_Ce_PC3,0.0005760602161133125
M-2H_H_O_M_atom0_PC5,0.0005746803402665129
M-2H_H_H_O_atom1_PC2,0.0005636636592649701
M-H_M_O_O_PC6,0.0005633731858357377
M-2H_H_O_M_atom1_PC7,0.0005587301246303033
First_Ionization_Energy,0.0005543492892321443
M-H_H_O_Ce_PC5,0.000546561388972345
M-2H_H_H_Ce_atom1_PC3,0.0005440069801763951
M-2H_M_H_O_PC11,0.0005395757049285767
M_M_O_Ce_PC5,0.0005320899509695763
M_M_O_Ce_PC2,0.0005315427359449186
M-H_M_Ce_Ce_PC4,0.0005265954984283528
M_M_O_Ce_PC1,0.0005231431458276547
M-H_M_O_M_PC1,0.0005201202101889725
M-H_H_O_Ce_PC2,0.000518258634933058
M-2H_M_O_O_PC5,0.0005178813595503591
M-2H_M_O_Ce_PC2,0.0005121364882748929
M-H_M_O_O_PC2,0.000507971846344028
M-2H_H_H_M_atom1_PC7,0.0005048503540999517
M-H_M_H_O_PC8,0.000500781705615972
M_M_O_M_PC1,0.0004959008609314633
M-H_H_H_Ce_PC2,0.0004913951190112238
M-2H_H_M_M_atom0_PC2,0.0004898975497502478
M-2H_M_O_M_PC1,0.0004864235648926467
M-2H_H_M_Ce_atom0_PC4,0.0004842008414685624
M-2H_H_O_M_atom1_PC4,0.0004811580299845557
M-H_H_Ce_Ce_PC1,0.0004717161863037554
M-2H_M_O_O_PC3,0.00046959265560638896
M-H_M_O_Ce_PC5,0.0004666891030699566
M-2H_H_H_O_atom0_PC13,0.00046403984040727764
M-H_M_H_H_PC2,0.0004615403600300267
M-2H_H_H_Ce_atom1_PC2,0.0004479167515972386
M-2H_M_H_O_PC2,0.000445836969568112
M-2H_H_H_O_atom1_PC3,0.00044547215782391814
M-2H_H_H_H_atom1_PC3,0.0004450484133481991
M-H_M_H_H_PC1,0.00044430067568813794
M-2H_H_M_Ce_atom1_PC4,0.0004371427874577726
M-H_H_M_Ce_PC4,0.0004211642590382169
M-2H_M_O_Ce_PC1,0.0004201548153062145
M-2H_M_H_O_PC12,0.00041955645016582917
M-2H_H_O_M_atom0_PC11,0.00041713089935182775
M-2H_H_O_Ce_atom0_PC8,0.00041697673625361927
M-2H_H_H_O_atom1_PC4,0.0004158438481839598
M-2H_H_H_Ce_atom0_PC1,0.0004155058495848881
M-2H_M_O_O_PC6,0.00041008151017404404
M-2H_H_H_Ce_atom1_PC7,0.0004091516824975206
M-2H_H_M_Ce_atom0_PC1,0.0004079929485447664
M-H_M_O_O_PC3,0.000407333729522298
M-2H_H_M_Ce_atom0_PC8,0.0004050110032528221
M-H_M_H_O_PC6,0.00040048685665173986
M-2H_M_Ce_Ce_PC3,0.00039895082233419235
M-2H_H_H_M_atom1_PC4,0.0003921581930128154
M-2H_H_M_Ce_atom0_PC11,0.0003920262257639749
Covalent_Radius,0.0003917393323922426
M-2H_H_M_Ce_atom1_PC1,0.00038770490854364846
M-H_M_H_Ce_PC2,0.00038390271553311863
M-2H_H_H_Ce_atom0_PC5,0.0003797484060097275
M-2H_M_H_Ce_PC4,0.000379721880238211
M-2H_H_H_M_atom1_PC6,0.0003738850584978714
M-2H_H_M_M_atom0_PC3,0.00036278774127350275
M-2H_M_H_O_PC4,0.00036075023585946565
M-H_H_O_M_PC5,0.0003591252202185136
M-2H_H_O_O_atom1_PC6,0.000351815977316938
M-H_H_M_M_PC2,0.0003483126137090679
M-2H_H_H_M_atom1_PC5,0.0003466758918040057
M-H_M_H_O_PC7,0.0003261109898225369
M-2H_H_H_M_atom0_PC4,0.0003224278264954268
M-2H_M_H_Ce_PC6,0.0003207423654605803
M-2H_H_H_M_atom0_PC11,0.0003197875261496687
M-2H_H_H_O_atom0_PC6,0.0003192911994258351
M-2H_H_Ce_Ce_atom1_PC1,0.0003137244586949547
M-2H_H_H_O_atom1_PC6,0.0003075707931283518
M-2H_H_O_M_atom0_PC9,0.00030581216422417146
M-2H_H_H_H_atom1_PC2,0.0003028331283781912
M-H_H_Ce_Ce_PC2,0.0003016713773252936
M-2H_H_H_H_atom0_PC2,0.0002995559100977064
M-H_M_O_Ce_PC3,0.00029194275241388066
M-H_H_O_M_PC2,0.0002871468634767749
M-2H_H_H_Ce_atom1_PC5,0.00028130611671860347
M-2H_H_H_O_atom0_PC11,0.0002743406139117376
M-2H_M_O_O_PC7,0.00026014811779388356
M-H_H_M_Ce_PC3,0.0002546623400399035
M-2H_M_O_Ce_PC6,0.0002539955291101771
M-2H_H_H_Ce_atom0_PC9,0.00025153443656501594
M-2H_H_M_Ce_atom0_PC3,0.00024417473540897883
M-H_H_O_O_PC1,0.0002440685031601633
M-2H_H_O_M_atom1_PC8,0.0002429010533878787
Atomic_Radius,0.0002421699601081219
M-H_H_O_Ce_PC3,0.00023077032448843535
M-2H_H_H_M_atom1_PC3,0.000230318509422262
M-2H_H_M_Ce_atom1_PC3,0.00022365912806629254
M-2H_H_H_Ce_atom0_PC4,0.0002206973889419408
M-H_M_Ce_Ce_PC1,0.0002159278319710195
M_M_O_O_PC6,0.00021583865014495576
M-H_H_H_M_PC2,0.000200835096716245
M-2H_H_H_H_atom0_PC3,0.00020012200279187042
M_M_O_O_PC2,0.00019628727545108234
M-2H_H_M_Ce_atom0_PC5,0.00019581368650319942
M-2H_H_O_M_atom1_PC2,0.00019179963257529194
M-2H_H_H_Ce_atom0_PC2,0.00018370064192705542
M-H_M_H_M_PC2,0.0001801765767164743
M-2H_H_M_Ce_atom0_PC9,0.00017321928898426326
M-2H_M_M_Ce_PC1,0.00017198413455546386
M-2H_H_M_M_atom1_PC1,0.0001612946247891603
M-2H_H_H_M_atom0_PC6,0.0001549366998353471
M-H_M_H_Ce_PC4,0.00014432422250800872
M_M_O_O_PC5,0.00014219100247328363
Second_Ionization_Energy,0.00014061694082383186
M-H_M_M_Ce_PC1,0.00014033040307542116
M-2H_H_O_Ce_atom0_PC7,0.00013714650072132878
M-2H_M_H_H_PC5,0.0001196574150367715
M-2H_H_M_Ce_atom1_PC2,0.0001179549023175077
M-2H_H_M_M_atom1_PC2,9.796401384127554e-05
M-2H_H_M_M_atom1_PC3,9.411977850721981e-05
M_M_M_Ce_PC1,8.376745919583174e-05
M-2H_H_H_O_atom1_PC1,7.459948441404785e-05
Electron_Shells,5.751119418164337e-05
Period,5.0716654369055016e-05
M_M_M_M_PC1,0.0
M-H_M_M_M_PC1,0.0
M-2H_M_M_M_PC1,0.0
M-H_H_H_H_PC1,0.0
